,Number of measurements,ESS,Mean Initial count,Mean Growth rate,Std. Initial count,Std. Growth rate,Pooled Sigma
0,90,71.14925686571756,0.12039999999999998,0.0168,0.10079999999999999,0.01148,0.012459999999999999
0,90,70.8763799411564,0.10319999999999999,0.0144,0.08639999999999999,0.00984,0.01068
0,90,115.1516434988373,0.086,0.012,0.072,0.0082,0.0089
0,90,62.75169423774869,0.0688,0.009600000000000001,0.0576,0.006560000000000001,0.0071200000000000005
0,90,82.00498402540471,0.05159999999999999,0.0072,0.043199999999999995,0.00492,0.00534
0,90,63.24908892405567,0.0344,0.0048000000000000004,0.0288,0.0032800000000000004,0.0035600000000000002
0,90,51.638497290592454,0.0172,0.0024000000000000002,0.0144,0.0016400000000000002,0.0017800000000000001
0,270,23.611086377104055,0.041999999999999996,0.0098,0.041999999999999996,0.00532,0.1372
0,270,14.723521334285564,0.036,0.0084,0.036,0.00456,0.1176
0,270,11.895203085345129,0.03,0.007,0.03,0.0038,0.098
0,270,15.70202564080912,0.024,0.005600000000000001,0.024,0.00304,0.07840000000000001
0,270,7.274298986345021,0.018,0.0042,0.018,0.00228,0.0588
0,270,7.783631187583474,0.012,0.0028000000000000004,0.012,0.00152,0.039200000000000006
0,270,5.371382789361529,0.006,0.0014000000000000002,0.006,0.00076,0.019600000000000003
0,810,3.858657769483888,0.027999999999999997,0.0064399999999999995,0.025199999999999997,0.00462,0.01148
0,810,7.265283944305653,0.024,0.00552,0.021599999999999998,0.00396,0.00984
0,810,10.61626278681092,0.02,0.0046,0.018,0.0033,0.0082
0,810,5.785368613690621,0.016,0.00368,0.0144,0.00264,0.006560000000000001
0,810,5.997963977015272,0.012,0.00276,0.010799999999999999,0.00198,0.00492
0,810,6.220721001858283,0.008,0.00184,0.0072,0.00132,0.0032800000000000004
0,810,5.375534761304789,0.004,0.00092,0.0036,0.00066,0.0016400000000000002
0,2430,3.275346334735035,0.0238,0.00448,0.00196,0.0033599999999999997,0.013439999999999999
0,2430,3.606038215418553,0.0204,0.00384,0.0016799999999999999,0.0028799999999999997,0.011519999999999999
0,2430,3.2912966414722487,0.017,0.0032,0.0014,0.0024,0.0096
0,2430,3.212344793135791,0.013600000000000001,0.00256,0.0011200000000000001,0.0019199999999999998,0.007679999999999999
0,2430,3.5562887999754977,0.0102,0.00192,0.0008399999999999999,0.0014399999999999999,0.0057599999999999995
0,2430,3.7539631261903628,0.0068000000000000005,0.00128,0.0005600000000000001,0.0009599999999999999,0.0038399999999999997
0,2430,3.439691131404087,0.0034000000000000002,0.00064,0.00028000000000000003,0.00047999999999999996,0.0019199999999999998
