Observable,Value,ID,Time
Tumour volume,10.276255684708758,1,0.0
Tumour volume,12.705026130835698,2,0.12
Tumour volume,15.118230298169838,3,0.24
Tumour volume,13.07501910445771,4,0.36
Tumour volume,24.549520136133896,5,0.48
Tumour volume,63.45592525487101,6,0.6
Tumour volume,10.052039822799376,7,0.0
Tumour volume,12.04974336230705,8,0.12
Tumour volume,13.015140007298593,9,0.24
Tumour volume,15.75774204881804,10,0.36
Tumour volume,26.364452929676034,11,0.48
Tumour volume,43.84965625452717,12,0.6
Tumour volume,10.816164233791252,13,0.0
Tumour volume,11.594813968267703,14,0.12
Tumour volume,16.2410938208415,15,0.24
Tumour volume,19.587972915406922,16,0.36
Tumour volume,33.7156383552996,17,0.48
Tumour volume,41.74236115799862,18,0.6
Tumour volume,11.023777901560223,19,0.0
Tumour volume,13.451517653702329,20,0.12
Tumour volume,15.26411366742006,21,0.24
Tumour volume,28.174021025352783,22,0.36
Tumour volume,22.411631120622747,23,0.48
Tumour volume,37.67876285072094,24,0.6
Tumour volume,7.871054196864425,25,0.0
Tumour volume,12.758892284284665,26,0.12
Tumour volume,18.696215008646078,27,0.24
Tumour volume,18.30296464046001,28,0.36
Tumour volume,19.028222263959524,29,0.48
Tumour volume,49.470669412658786,30,0.6
Tumour volume,7.796090712467882,31,0.0
Tumour volume,10.928001617269093,32,0.12
Tumour volume,14.968299890044651,33,0.24
Tumour volume,29.8658285668649,34,0.36
Tumour volume,22.96545464079881,35,0.48
Tumour volume,27.878111775112878,36,0.6
Tumour volume,11.452419468608955,37,0.0
Tumour volume,13.114949313711948,38,0.12
Tumour volume,17.95395517679068,39,0.24
Tumour volume,15.65017694464434,40,0.36
Tumour volume,35.75074737967199,41,0.48
Tumour volume,47.839562145748154,42,0.6
Tumour volume,10.014812177971233,43,0.0
Tumour volume,11.933103552636803,44,0.12
Tumour volume,17.195679982996324,45,0.24
Tumour volume,25.196519143458637,46,0.36
Tumour volume,32.18815334609197,47,0.48
Tumour volume,22.08327632013002,48,0.6
Tumour volume,9.379749730039954,49,0.0
Tumour volume,10.602711877032803,50,0.12
Tumour volume,15.992096150799226,51,0.24
Tumour volume,19.473047286602007,52,0.36
Tumour volume,34.64921525540888,53,0.48
Tumour volume,32.86172049218161,54,0.6
Tumour volume,8.480373298205183,55,0.0
Tumour volume,13.800995103884386,56,0.12
Tumour volume,15.603871707271278,57,0.24
Tumour volume,21.288878552565233,58,0.36
Tumour volume,31.75399569451265,59,0.48
Tumour volume,32.881850486591475,60,0.6
Tumour volume,12.145037265601031,61,0.0
Tumour volume,10.606578209031394,62,0.12
Tumour volume,18.751929378548102,63,0.24
Tumour volume,19.02547180233252,64,0.36
Tumour volume,32.1022659557161,65,0.48
Tumour volume,29.65009100517725,66,0.6
Tumour volume,9.71405685497834,67,0.0
Tumour volume,14.640143125741838,68,0.12
Tumour volume,15.674248892270091,69,0.24
Tumour volume,14.083643402987889,70,0.36
Tumour volume,37.40990239971149,71,0.48
Tumour volume,36.35374101700779,72,0.6
