Observable,Value,ID,Time
Tumour volume,8.517456911633301,1,0.0
Tumour volume,12.6042807430759,2,0.12
Tumour volume,17.877612252334053,3,0.24
Tumour volume,18.555517226239587,4,0.36
Tumour volume,23.042589822782425,5,0.48
Tumour volume,25.387063218284215,6,0.6
Tumour volume,10.052527204359727,7,0.0
Tumour volume,9.74208605767395,8,0.12
Tumour volume,10.533273010940722,9,0.24
Tumour volume,16.935065481731986,10,0.36
Tumour volume,21.90438221361819,11,0.48
Tumour volume,39.35444687110844,12,0.6
Tumour volume,9.60086916006027,13,0.0
Tumour volume,12.908442725909378,14,0.12
Tumour volume,17.746720941779653,15,0.24
Tumour volume,19.61615689215055,16,0.36
Tumour volume,27.28460635475539,17,0.48
Tumour volume,31.6973524863927,18,0.6
Tumour volume,10.660871393686607,19,0.0
Tumour volume,13.143218378995014,20,0.12
Tumour volume,18.519603156081743,21,0.24
Tumour volume,16.40856826258596,22,0.36
Tumour volume,31.09623396086635,23,0.48
Tumour volume,56.830712414203944,24,0.6
Tumour volume,9.79066808353705,25,0.0
Tumour volume,11.168479203781699,26,0.12
Tumour volume,18.84871070728169,27,0.24
Tumour volume,22.955355993151766,28,0.36
Tumour volume,28.237305951944666,29,0.48
Tumour volume,43.24635577000996,30,0.6
Tumour volume,11.00206975349748,31,0.0
Tumour volume,11.11599237368399,32,0.12
Tumour volume,14.058532678881758,33,0.24
Tumour volume,21.405646014608013,34,0.36
Tumour volume,28.809561525203925,35,0.48
Tumour volume,19.000012654788307,36,0.6
Tumour volume,12.0708060243123,37,0.0
Tumour volume,12.834855372110512,38,0.12
Tumour volume,15.663652886983805,39,0.24
Tumour volume,22.415407540795364,40,0.36
Tumour volume,19.70279478577753,41,0.48
Tumour volume,13.570557337482343,42,0.6
Tumour volume,10.728427717379015,43,0.0
Tumour volume,8.937382404585646,44,0.12
Tumour volume,15.555103846609509,45,0.24
Tumour volume,18.91400434668384,46,0.36
Tumour volume,24.216362091960736,47,0.48
Tumour volume,41.19512689781363,48,0.6
Tumour volume,9.277169794031995,49,0.0
Tumour volume,11.646267047617224,50,0.12
Tumour volume,14.400881376958349,51,0.24
Tumour volume,18.406274992640665,52,0.36
Tumour volume,26.466899337516995,53,0.48
Tumour volume,60.08256958531495,54,0.6
Tumour volume,8.693313556068407,55,0.0
Tumour volume,11.934734673346751,56,0.12
Tumour volume,15.636654034279358,57,0.24
Tumour volume,22.042838965298287,58,0.36
Tumour volume,20.12368834285115,59,0.48
Tumour volume,21.55995549810594,60,0.6
Tumour volume,8.517456911633301,61,0.0
Tumour volume,15.823502169644426,62,0.12
Tumour volume,28.902428266513386,63,0.24
Tumour volume,37.563161443638,64,0.36
Tumour volume,60.60804935954023,65,0.48
Tumour volume,85.67943727427436,66,0.6
Tumour volume,10.052527204359727,67,0.0
Tumour volume,12.590081232197871,68,0.12
Tumour volume,18.104587211354005,69,0.24
Tumour volume,33.463993546079855,70,0.36
Tumour volume,56.866122553633865,71,0.48
Tumour volume,131.4086159368298,72,0.6
Tumour volume,9.60086916006027,73,0.0
Tumour volume,16.378843643388542,74,0.12
Tumour volume,28.367711805888394,75,0.24
Tumour volume,40.43948946765179,76,0.36
Tumour volume,70.20099844319262,77,0.48
Tumour volume,108.90119080635924,78,0.6
Tumour volume,10.660871393686607,79,0.0
Tumour volume,16.980486539481333,80,0.12
Tumour volume,29.742691085548042,81,0.24
Tumour volume,34.5267956720011,82,0.36
Tumour volume,80.88585093294176,83,0.48
Tumour volume,186.85773659368652,84,0.6
Tumour volume,9.79066808353705,85,0.0
Tumour volume,14.541840865073384,86,0.12
Tumour volume,29.903256666305495,87,0.24
Tumour volume,46.42555430551982,88,0.36
Tumour volume,75.14526451779282,89,0.48
Tumour volume,142.28437428795615,90,0.6
Tumour volume,11.00206975349748,91,0.0
Tumour volume,14.008260777942082,92,0.12
Tumour volume,22.09375477910921,93,0.24
Tumour volume,42.97111397502403,94,0.36
Tumour volume,72.1078851078475,95,0.48
Tumour volume,61.92776243177993,96,0.6
Tumour volume,12.0708060243123,97,0.0
Tumour volume,16.15874221190321,98,0.12
Tumour volume,24.946251282711287,99,0.24
Tumour volume,45.78669716318012,100,0.36
Tumour volume,50.90862155898227,101,0.48
