,Number of measured individuals,Type,Cost in sec
0,24,NLME,0.0005775770000000513
1,48,NLME,0.0010227989999997966
2,72,NLME,0.0015160050000000425
3,96,NLME,0.0020578499999999167
4,120,NLME,0.002526362999999865
5,144,NLME,0.0029518890000002074
0,24,Filter 50,0.0004134060000002826
1,48,Filter 50,0.0003944640000002053
2,72,Filter 50,0.00039659300000005615
3,96,Filter 50,0.0003982499999999334
4,120,Filter 50,0.000393700999999691
5,144,Filter 50,0.00039543199999947376
0,24,Filter 100,0.0006694289999997771
1,48,Filter 100,0.0006414659999998129
2,72,Filter 100,0.0006476399999999494
3,96,Filter 100,0.0006718690000000471
4,120,Filter 100,0.000638261999999834
5,144,Filter 100,0.000645298999999433
0,24,Filter 150,0.0008949849999999593
1,48,Filter 150,0.0008994320000001998
2,72,Filter 150,0.0009026880000000403
3,96,Filter 150,0.000894804999999721
4,120,Filter 150,0.0008830529999999115
5,144,Filter 150,0.0008914730000002535
