,Number of measured individuals,Type,Cost in sec
0,24,NLME,0.022399384528398514
1,48,NLME,0.0455632358789444
2,72,NLME,0.06949313171207905
3,96,NLME,0.09325693547725677
4,120,NLME,0.11681895889341831
5,144,NLME,0.14524080604314804
0,24,Filter 50,0.038183173164725304
1,48,Filter 50,0.03800329379737377
2,72,Filter 50,0.0378285963088274
3,96,Filter 50,0.03957430645823479
4,120,Filter 50,0.03706680051982403
5,144,Filter 50,0.03819509595632553
0,24,Filter 100,0.0768086351454258
1,48,Filter 100,0.07807585969567299
2,72,Filter 100,0.07563473284244537
3,96,Filter 100,0.07571715861558914
4,120,Filter 100,0.07431427948176861
5,144,Filter 100,0.0758269876241684
0,24,Filter 150,0.11255161836743355
1,48,Filter 150,0.11335140280425549
2,72,Filter 150,0.11122243292629719
3,96,Filter 150,0.11439752019941807
4,120,Filter 150,0.11285755597054958
5,144,Filter 150,0.11660254746675491
