,Number of measured individuals,Type,Cost in sec
0,24,NLME,
1,48,NLME,
2,72,NLME,
3,96,NLME,
4,120,NLME,
5,144,NLME,
0,24,Filter 50,0.017866372000000297
1,48,Filter 50,0.018463422000003504
2,72,Filter 50,0.016968077000001358
3,96,Filter 50,0.016959005999993337
4,120,Filter 50,0.01690210900000011
5,144,Filter 50,0.016770352999998295
0,24,Filter 100,0.034918056999998726
1,48,Filter 100,0.03396803399999726
2,72,Filter 100,0.03336354600000391
3,96,Filter 100,0.03301698999999303
4,120,Filter 100,0.033843864999994366
5,144,Filter 100,0.03348841800000457
0,24,Filter 150,0.052428972999997825
1,48,Filter 150,0.054580168000001095
2,72,Filter 150,0.04934457900000666
3,96,Filter 150,0.049586638000008065
4,120,Filter 150,0.05056391399999427
5,144,Filter 150,0.04932026899999187
