"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,150,5.17956223024173434e-01,6,4.66691261218661058e-01,3,3.11112563026102795e-01,22,53.14409579709172
1,153,,,,,2.50000000000000000e-01,1,53.19283440429717
2,156,,,,,2.50000000000000000e-01,1,53.23835748527199
3,2589,3.59749981683671172e-01,13,2.35330411074172657e-01,17,2.63899572351603773e-01,406,137.95021499227732
20,48657,7.80630793285387758e-01,904,7.84961956838378883e-01,776,7.52025649492801374e-01,854,2350.589862004854
40,104781,7.53089028689763462e-01,811,7.62980946196750387e-01,803,7.60226111807524640e-01,891,5004.509986617602
60,160068,7.64311919914289151e-01,829,7.49097256654061683e-01,867,7.73282181289597470e-01,878,7648.498335447162
80,207537,7.31178972385347792e-01,809,7.32261833003680418e-01,844,7.43815344874301787e-01,754,9931.025845058262
100,259851,7.60665218552992184e-01,559,7.46309753183722946e-01,468,7.59136012562186102e-01,831,12433.617632701062
120,272541,7.58146298937047325e-01,208,7.66327129891089531e-01,223,7.20576482945823216e-01,202,13015.488700055517
140,283812,7.09846021465303290e-01,203,6.57956633640170541e-01,150,7.73949361487728749e-01,179,13578.189456208609
160,294219,7.45789607890833706e-01,198,7.52042798224504261e-01,392,6.98014383343057210e-01,165,14077.586861642078
180,310311,7.50831798848470067e-01,305,7.24071888456997104e-01,270,7.53249081095412887e-01,256,14807.982554037124
200,325416,7.40016524117585783e-01,246,7.50367167499124910e-01,243,7.44889025155332396e-01,240,15525.244831953198
220,340539,7.87723543817632432e-01,309,7.58142568019240404e-01,210,7.56482344327257916e-01,238,16293.446160771884
240,353409,7.60608465246247256e-01,175,7.35243997514442027e-01,189,7.61096219345374969e-01,207,16877.940240340307
260,365574,6.86731061201260262e-01,207,7.49837323373979903e-01,234,7.01103216949085617e-01,193,17452.013989102095
280,384681,7.74300091113805933e-01,324,7.74553121237880671e-01,258,7.64966671243453522e-01,236,18376.312440685928
300,399255,7.52177513933567909e-01,232,7.54316322007192896e-01,207,7.48405043187816643e-01,225,19085.808179868385
320,411537,7.49061654220561590e-01,195,7.62006802814938822e-01,203,7.82499507472540157e-01,263,19661.556222489104
340,424545,7.63409448738744723e-01,207,7.61649410631634605e-01,185,7.34259408467690000e-01,208,20298.126289697364
360,437973,7.40019185243845912e-01,214,7.56301177130134561e-01,197,7.53462807260895984e-01,204,20889.71426322311
380,448638,7.46963847558695049e-01,151,7.59294450998081016e-01,172,7.57434919897778891e-01,188,21443.936281745322
400,463203,7.68324289014022832e-01,214,7.54803662332029446e-01,196,7.89078602548885510e-01,232,22101.51062961202
420,474909,7.66145723341391638e-01,204,7.30837131777781868e-01,229,7.39384958347037213e-01,186,22669.858791173436
440,486012,7.63179881284045680e-01,145,7.09113164602316548e-01,148,7.49831585342729423e-01,177,23229.111244425178
460,496035,6.62566500678229087e-01,185,7.60113401691812074e-01,305,7.19992897396904419e-01,159,23672.01567453798
480,510534,7.67446116938859113e-01,208,7.49253671361632678e-01,238,7.86454568469904691e-01,231,24379.37877626624
500,523206,7.53227275636754845e-01,230,8.16560899481976521e-01,228,7.64145579658009333e-01,202,24960.723379360512
520,537738,8.56970087138427816e-01,236,9.05111726377527681e-01,243,8.75230669667823147e-01,231,25669.733972540125
540,552654,8.45218568065125964e-01,237,8.67068232076783740e-01,243,8.89669791972590884e-01,237,26383.343380896375
560,567954,9.00437247838864807e-01,243,8.86436318150897851e-01,243,8.70574044344081699e-01,243,27101.492992555723
580,582870,8.66110972299149684e-01,232,8.85913808286510784e-01,243,8.81011139921793363e-01,237,27815.238647358492
600,598170,8.88798125358239210e-01,243,8.54702307045635434e-01,243,8.94124467068843298e-01,243,28534.56771353539
620,612318,8.85721937965479378e-01,236,9.00673594378505804e-01,243,8.95642302343675145e-01,225,29237.42281205114
640,627234,8.64017828585501801e-01,243,9.02756683817998562e-01,243,8.87729737561021803e-01,237,29951.135385633446
660,642534,8.38694810534513890e-01,243,8.92753982216216047e-01,243,8.10143143389814968e-01,243,30670.19293908123
680,657450,8.65225976671870622e-01,243,9.24119886250890810e-01,243,8.79349181696949866e-01,237,31384.72117154859
700,672366,8.95666312618438654e-01,231,8.61357615774124952e-01,243,8.85497394286761663e-01,237,32098.816321669146
720,687666,8.75442467536529656e-01,228,8.90339708356891024e-01,243,8.88392976588325167e-01,243,32817.60301894881
740,702966,8.52329413217039589e-01,232,8.98771303302785984e-01,243,8.93968579044014056e-01,243,33536.281478866
760,717789,8.66404745174175650e-01,237,9.13264991274930993e-01,243,8.99937721307828453e-01,231,34248.51982071437
