"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,3.88888888888888840e-01,1,3.33333333333333315e-01,1,3.75000000000000000e-01,2,103.80925870966166
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,103.81607815995812
2,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,103.82006867788732
3,33,,,3.33333333333333315e-01,1,2.50000000000000000e-01,1,103.96381553821266
20,33846,7.50170033278548587e-01,627,7.65236828313065165e-01,535,7.59978291084327795e-01,554,3263.9473367780447
40,74409,7.52810894379968065e-01,644,7.68111205042466882e-01,637,7.26289467607174277e-01,677,6999.452376104891
60,116538,7.51837838885707099e-01,669,7.39458459205258434e-01,746,7.82901946612575506e-01,692,10881.03027471248
80,164094,7.81503837662084311e-01,755,7.69270211784023772e-01,694,7.47998984270935030e-01,610,15300.996727642603
100,205548,7.42625553191851639e-01,658,7.45072169742879264e-01,381,7.58915760046726229e-01,444,19165.82917531021
120,226680,7.14682921556740403e-01,336,7.42580971805216539e-01,167,7.70913943792654655e-01,267,21107.24219388049
140,241632,7.59514567944521102e-01,238,7.44298891239303373e-01,236,7.21526529807761996e-01,238,22489.35840283055
160,259296,7.24787736158728713e-01,281,7.56863883794621439e-01,249,7.49369297981990368e-01,254,24039.520237020217
180,274350,7.61726055362448085e-01,239,7.86889223193715237e-01,285,7.49468802029952585e-01,249,25423.96047518775
200,287505,7.32896116511926543e-01,209,7.57263569868180997e-01,159,7.87898217499870990e-01,212,26660.533865685575
220,300471,7.69081791494111822e-01,206,7.02044830132446229e-01,203,7.46085978415279794e-01,183,27893.525045669638
240,319251,7.54197681322924640e-01,299,7.81285403046773408e-01,181,7.32231240533287253e-01,236,29574.26725281868
260,330504,7.38327467987286989e-01,179,7.46752405003274222e-01,196,7.35941107552948948e-01,232,30664.618306322955
280,343104,7.48034889760135324e-01,200,7.57757836090540482e-01,182,7.50478113421804149e-01,243,31784.849812441505
300,357660,7.60187846273759793e-01,232,7.68169989885980842e-01,135,7.75073148832001735e-01,214,33158.76535989251
320,369870,7.49343516475451055e-01,194,7.84627927731223918e-01,170,7.63047485347906784e-01,179,34270.014816584066
340,385968,7.65779407085980690e-01,256,7.56768816132719402e-01,138,7.62356791559537172e-01,170,35885.53053700086
360,400335,7.47533363988153510e-01,229,7.60891274622150005e-01,179,7.70872472276345255e-01,145,37151.7772688698
380,410571,7.50240810058636742e-01,163,7.57778507930861989e-01,180,7.57675469163314297e-01,156,38113.91694463603
400,425067,7.60428763711425981e-01,231,8.02994872650729108e-01,174,7.40420710620084188e-01,166,39485.50051297806
420,435210,7.60460099145691237e-01,161,8.13874769878746518e-01,208,6.50121359855094449e-01,370,40443.93001836818
440,447486,7.37113472255851443e-01,195,8.48836165794271125e-01,178,7.31544989701382820e-01,200,41556.912526228465
460,464289,7.54335520575736607e-01,267,8.29045295909159319e-01,220,7.83654716470694401e-01,278,43087.65048742294
480,482106,7.64792283497692349e-01,283,8.85175841406158681e-01,186,8.63686928616242078e-01,237,44742.53074879013
500,500523,7.52079046270307527e-01,293,9.20765878019222272e-01,211,9.02389247999514699e-01,246,46414.32793746423
520,515823,8.88781748900888013e-01,243,8.63836170660865710e-01,192,8.37216629048339822e-01,243,47806.248427604325
540,531123,8.97724330015176930e-01,243,8.60880795452700243e-01,196,8.88091869040786519e-01,243,49302.44311857596
560,546423,8.92375769578372724e-01,243,8.41670276264844586e-01,228,8.38676949424834284e-01,243,50693.468755489215
580,561723,8.90359805940458160e-01,243,8.83842796947460374e-01,182,8.54742036534854033e-01,243,52085.37817935925
600,577023,9.00581527924706027e-01,243,8.95578339233419340e-01,217,8.92683702783660160e-01,243,53476.74049291946
620,592323,8.67337385578907272e-01,243,8.72376425491669938e-01,209,8.60514389664979062e-01,243,54868.386355540715
640,607623,9.13975906363376778e-01,243,8.81484627674415711e-01,192,8.70683178048171746e-01,243,56363.73252699245
660,622923,9.23457906929263106e-01,243,8.78114606216794269e-01,196,8.80391075170240511e-01,243,57755.8335820185
680,638223,9.03016795632703539e-01,243,8.41243234565276499e-01,204,8.86006604503896122e-01,243,59147.50996349286
700,653523,8.94022670895421645e-01,243,8.97080154859318246e-01,194,8.91695538512397357e-01,243,60539.76896402985
720,668823,9.11255968286220464e-01,243,8.22221973041221244e-01,204,8.93907813000525575e-01,243,61930.2680269843
740,684123,8.91680992899003155e-01,243,8.58490296028855737e-01,201,8.86404711287598790e-01,243,63427.31867518928
760,699423,8.84159810312353467e-01,243,8.59194565343779582e-01,196,8.59212286978663919e-01,243,64821.3341913512
780,714723,8.96164393930441894e-01,243,8.20276729158423312e-01,197,8.66143781009724778e-01,243,66212.28807779215
800,730023,8.51954812754643798e-01,243,8.70159905722368787e-01,204,8.56155012675453131e-01,243,67603.9073504312
820,740971,9.24748997774356041e-01,243,7.06961710413067879e-01,192,8.70791981676869553e-01,243,69847.36912257783
840,751171,8.93287652104562957e-01,243,,,8.50653015772089516e-01,243,72181.88342262898
860,761371,9.14197617178667210e-01,243,,,8.78408151731440934e-01,243,74614.63126028143
880,771571,9.05712981816238605e-01,243,,,8.53536547515734711e-01,243,76947.56392476056
900,781771,8.83574813939364878e-01,243,,,8.80150981312752601e-01,243,79181.18066944182
920,791971,8.49741590755811127e-01,243,,,8.76759039972237475e-01,243,81713.99532636162
940,802171,8.78653286246095178e-01,243,,,8.94788533788413831e-01,243,84145.38910281193
960,808788,8.91838162640442689e-01,243,,,8.20788960901073450e-01,219,85681.02204235084
