"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,1005,5.84814563232265883e-01,13,4.50184360516288129e-01,4,7.22905094040117296e-02,166,10.710008664056659
1,1062,,,,,4.74999999999999978e-01,10,11.274651578627527
2,1071,,,,,3.20643973111374048e-01,2,11.36836961004883
3,1101,,,,,4.11503498469156570e-01,5,11.666722281835973
20,35262,7.46515592955306340e-01,618,7.61110905865133192e-01,633,7.35336419070061975e-01,633,361.3841494647786
40,73749,7.69403612266831516e-01,601,7.68514582415838032e-01,602,7.73483386806702811e-01,611,757.1017647320405
60,110424,7.64347520418490745e-01,585,7.56176713039465431e-01,640,7.54927645577301853e-01,509,1133.1182583896443
80,143550,7.51932731322119352e-01,454,7.77352227574557908e-01,526,7.50167989457067530e-01,603,1472.695855568163
100,174423,7.62852398562495204e-01,292,7.08610941475815603e-01,490,7.35536849810618398e-01,375,1789.3589573670179
120,185160,7.15507388554602608e-01,247,7.12590800746141340e-01,171,7.68739625647162250e-01,100,1899.283218623139
140,197316,7.41240120503512068e-01,128,7.67538680445609800e-01,193,7.38612617206423350e-01,105,2023.81112599466
160,204036,7.42618824700661095e-01,125,7.18431625157502918e-01,107,7.80869621536941727e-01,147,2093.064396591857
180,211527,7.25069136621066423e-01,156,7.59318969186584702e-01,119,7.67710994886656617e-01,86,2169.582811673172
200,219777,7.69255042963666424e-01,122,7.42866124266002181e-01,131,7.34247600698830549e-01,82,2253.6199118196964
220,225138,7.35194074920779261e-01,116,7.46770467784162562e-01,86,7.43899667841445011e-01,134,2308.83612528909
240,231345,7.58161994288968910e-01,114,7.64105466113559451e-01,99,7.22788292906717644e-01,176,2372.231182780117
260,239271,6.92785754971678380e-01,112,7.02046935508226722e-01,126,7.39608206062455809e-01,188,2453.465838151984
280,247167,7.92515701595088773e-01,180,7.51426750378946906e-01,126,7.65511226195596639e-01,132,2534.4974104817957
300,256935,7.38811056266247546e-01,136,7.51705478738975197e-01,156,7.53054488185140647e-01,160,2634.486476371996
320,265008,7.65336391905665492e-01,125,7.64267218558700501e-01,129,7.39011243005956442e-01,128,2717.3121152771637
340,271773,7.64908297785575009e-01,108,7.40890816097682370e-01,108,7.40813940868493281e-01,136,2786.896315479651
360,280161,7.31759206847339638e-01,120,7.60141365044857187e-01,134,7.92595115816176143e-01,129,2872.5231827478856
380,286812,7.66031963253676174e-01,111,7.55402861275734638e-01,106,7.48495894386715599e-01,119,2941.020354244858
400,292464,7.63293786239336636e-01,132,7.76702335746071948e-01,90,7.37055735818255009e-01,113,2998.6323663406074
420,298581,7.59805044572781529e-01,103,7.44099343347638831e-01,98,7.13299980337546602e-01,135,3061.796062797308
440,304947,7.51388603216439854e-01,103,7.53731647026821827e-01,102,7.95229372314748106e-01,128,3126.9118459699675
460,312003,7.05224155006496711e-01,124,7.17372536856661469e-01,112,7.09944723688825219e-01,81,3199.563050184399
480,323313,7.87888988210752927e-01,132,7.80837399263717868e-01,180,7.99611809993287737e-01,110,3315.015533670783
500,331200,8.03473092446528758e-01,132,7.54326196740484400e-01,126,8.28841753543231863e-01,121,3395.865230756812
520,338820,8.74922576952825715e-01,121,8.96331902083229770e-01,121,8.15723116527752312e-01,121,3473.9691047379747
540,346440,8.74538152684743109e-01,121,8.90058882827534315e-01,121,8.44077680582793533e-01,121,3551.753562392667
560,354060,8.84372110434072600e-01,121,8.51594944171223167e-01,121,8.59029307146296328e-01,121,3630.4662336641923
580,361680,9.05023011796917465e-01,121,8.70078921717596154e-01,121,8.44685208661216547e-01,121,3708.8181295441464
600,369300,8.80098147418205579e-01,121,8.75714056447443268e-01,121,7.38833596495315215e-01,121,3786.808630015701
620,376920,8.92531751430791997e-01,121,8.20477567051144607e-01,121,8.18895985686073913e-01,121,3864.5461740409955
640,384540,9.13196322493014634e-01,121,8.54600225125635160e-01,121,8.55713229026761057e-01,121,3942.781674137339
660,392160,8.74916806105311529e-01,121,8.60223514292711489e-01,121,8.37370988338983491e-01,121,4021.0993874240667
680,399780,8.78527524234458124e-01,121,8.12844104207128604e-01,121,7.50951287275443358e-01,121,4099.329174165614
700,407400,8.92266434630709093e-01,121,8.56390896065243989e-01,121,8.50066246983802731e-01,121,4177.161754569039
720,415020,8.61337971068399932e-01,121,8.80675864084964566e-01,121,7.95854966368529149e-01,121,4255.338520220481
740,422640,8.47396570229525525e-01,121,8.66959851718655528e-01,121,8.16783687823790516e-01,121,4333.431804326363
760,430260,8.67978555165350718e-01,121,8.33286620856121596e-01,121,8.82555877072088601e-01,121,4411.679543998092
780,437880,8.95982681380146473e-01,121,8.65124597134285689e-01,121,8.05779698936421873e-01,121,4489.765605504625
800,445500,8.79755147338481147e-01,121,8.71307017076918378e-01,121,7.86787450107682584e-01,121,4567.6879951022565
820,453120,9.23663434233952585e-01,121,8.71519410684488682e-01,121,8.29194799422933504e-01,121,4646.038425960578
840,460740,8.93829871082698624e-01,121,8.41187277036932968e-01,121,7.96550243704403305e-01,121,4723.869604489766
860,468360,8.73626526385220536e-01,121,8.52650678278369711e-01,121,8.46210130104064540e-01,121,4801.741748127155
880,475980,8.87841135621505906e-01,121,8.21170189887060586e-01,121,7.86577707946129800e-01,121,4879.927080376074
900,483600,8.81502394580347959e-01,121,8.46342885357014074e-01,121,8.28215967463171610e-01,121,4957.84397494141
920,491220,9.03599070522293601e-01,121,8.88994017055677821e-01,121,8.43364170940365865e-01,121,5035.79608843755
940,498840,9.09014598378165228e-01,121,8.10306001773010487e-01,121,8.12381760855051538e-01,121,5113.708098726347
960,506460,9.12126427070346746e-01,121,8.29233245858613466e-01,121,8.17916089238887256e-01,121,5192.0060933716595
980,512685,8.87875341553287956e-01,121,8.33674896569283841e-01,121,8.12298491410499923e-01,116,5270.68344731722
1000,516466,8.33342995177389412e-01,117,8.58412603191297974e-01,121,,,5344.853251514025
