"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,17,4.54545454545454530e-01,5,230.5224321829155
1,18,2.50000000000000000e-01,1,230.52765288576484
2,19,2.50000000000000000e-01,1,230.52987778931856
3,21,1.66666666666666657e-01,1,230.71905140019953
20,12529,7.71469854611575911e-01,695,2536.7205414809287
40,29937,7.36000033039522217e-01,829,5719.153116541915
60,48378,7.75047025127149625e-01,879,9081.94340168219
80,65204,7.46107504656966514e-01,802,12158.20153453853
100,84902,7.75786490846176235e-01,938,15789.40196684841
120,89911,7.27790898122095853e-01,239,16706.83966064267
140,94408,7.37403292360238938e-01,215,17530.09707439039
160,98896,7.26124745454213794e-01,214,18351.38084874209
180,104909,7.70827373406954397e-01,287,19452.615983513184
200,111303,7.56663250847228963e-01,305,20621.819466601126
220,116317,7.49416462699268315e-01,239,21539.849912440404
240,120653,7.72358816270728665e-01,207,22318.782380077057
260,124520,7.18798597325074784e-01,184,23025.785646837205
280,129329,7.34850507650412044e-01,229,23904.966818805784
300,134115,7.44727074698838809e-01,228,24780.667304324917
320,138566,7.85173593925427626e-01,212,25588.933485860005
340,142402,7.24737275605359055e-01,183,26286.19234063942
360,145347,7.53577782685285080e-01,141,26821.241326875053
380,148709,7.73263765992769470e-01,161,27431.850566901267
400,153297,7.63381658749321623e-01,219,28265.132635944523
420,157400,7.54009581198333056e-01,196,29010.42743531335
440,160570,7.34766022223905191e-01,151,29586.900911218487
460,163528,7.24503158331375130e-01,141,30123.74225961324
480,168175,7.76079693297812123e-01,222,30967.874728760682
500,172587,7.73320306830008741e-01,211,31776.19338201452
520,177303,8.69888911448896573e-01,225,32639.307794228196
540,181891,8.99046149647600656e-01,219,33478.58571684081
560,186991,8.62529769840836402e-01,243,34413.845669778064
580,192091,8.52640148814867715e-01,243,35346.987471326254
600,196679,8.94222365973931455e-01,219,36185.505848879926
620,201139,8.99547145839329487e-01,213,37002.19611381274
640,205727,8.62377573542656095e-01,219,37842.17858347949
660,210443,8.88276548873324856e-01,225,38706.329180053435
680,215415,8.92055715184086662e-01,237,39615.905737802386
700,220259,8.99902457413907841e-01,231,40503.01833464205
720,224591,8.67264332939704730e-01,207,41295.432256647386
740,229435,8.94804929831939266e-01,231,42183.50472078007
760,234023,8.89023858448247717e-01,219,43023.191913145594
780,239123,8.89186766686226648e-01,243,43956.449773445725
800,243711,9.18998205883896579e-01,219,44796.28828902077
820,248427,8.73212894505796311e-01,225,45653.134802210145
840,253399,8.82456472666485414e-01,237,46556.97329629026
860,257987,8.84981036452003544e-01,219,47390.32770803757
880,262831,8.67746758876583368e-01,231,48270.34867061861
900,267675,8.90216707163258847e-01,231,49150.53372164909
920,272519,9.13194026919584401e-01,231,50031.410056380555
940,277363,8.88379788925560798e-01,231,50910.94119211938
960,281951,8.93876807318688460e-01,219,51745.519361871295
980,287051,8.95309343532275093e-01,243,52671.01791553851
1000,291895,9.14659980838836484e-01,231,53553.652837991714
1020,296739,9.01166040574183369e-01,231,54433.34312957991
1040,301327,9.00528957192310409e-01,219,55267.07316566259
1060,305915,8.58843100385728198e-01,219,56100.74792193808
1080,310887,8.98173641084341390e-01,237,57003.88758090418
1100,315603,9.00157239664745257e-01,225,57861.570847092196
1120,320703,8.90254664620731440e-01,243,58788.4893360408
1140,325675,8.62573837942430699e-01,237,59691.61085732095
1160,330007,8.81645854099966098e-01,207,60478.21648140531
1180,334595,8.87426634319362639e-01,219,61312.247737365775
1200,338927,9.05517340605512366e-01,207,62105.533685121685
1220,343515,8.70259972912794444e-01,219,62938.82781474199
1240,348103,9.12736055307388772e-01,219,63774.02861732803
1260,352691,8.48997666709741305e-01,219,64606.3665345693
1280,357791,8.84901686749225203e-01,243,65532.30824480392
1300,362635,9.01139946997209562e-01,231,66411.42490202375
1320,367223,9.07428752173933817e-01,219,67245.55709213018
1340,372195,8.56323398679189385e-01,237,68147.86899923626
1360,377039,8.90186278901048178e-01,231,69035.21325289179
1380,381627,8.80746428006194848e-01,219,69874.63632539473
1400,386087,9.16685746396853185e-01,213,70690.6261044927
1420,391187,8.75106701488675531e-01,243,71624.48801961541
1440,395775,8.91410248538426653e-01,219,72462.89547037426
1460,400491,8.95128013879095463e-01,225,73324.8446072014
1480,405591,8.83311957195913933e-01,243,74257.49699332844
1500,409796,8.80174523551005783e-01,211,75025.80310291518
