"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,6,2.50000000000000000e-01,1,0.09969459753483534
1,7,2.50000000000000000e-01,1,0.10348225757479668
2,8,2.50000000000000000e-01,1,0.10583340283483267
3,9,2.50000000000000000e-01,1,0.10822891630232334
20,12923,7.29676637964833841e-01,718,322.76444406155497
40,28171,7.33469488066251007e-01,727,702.5956238768995
60,44196,7.37971258314460865e-01,764,1101.6327268797904
80,61795,7.45192716993357207e-01,839,1540.427521975711
100,74834,7.39544826945316980e-01,621,1865.1251352177933
120,75793,7.47058037530000774e-01,46,1889.6109462762251
140,76733,7.64860328707223647e-01,45,1913.608722416684
160,77682,7.09216281005821569e-01,46,1937.8093507196754
180,78951,7.48565322079475903e-01,61,1970.1865717777982
200,79923,7.63306742154284068e-01,47,1994.9537162128836
220,80703,7.40440236484903758e-01,38,2014.8520062053576
240,81835,7.60919090727761316e-01,54,2043.7223047567531
260,82785,7.20245623977344041e-01,46,2067.944133793935
280,83709,7.52641209196431960e-01,44,2091.4854770423844
300,84553,7.43437897760908073e-01,41,2113.0498610194772
320,85509,7.64098380769786645e-01,46,2137.4391673756763
340,86217,7.56906766822166177e-01,34,2155.465351089835
360,87029,7.58028600232379057e-01,39,2176.147208761424
380,88353,7.58452421784339470e-01,64,2209.913343746215
400,89165,7.48839600562898111e-01,39,2230.5857163798064
420,89977,7.82199570560902835e-01,39,2251.278749075718
440,90981,7.34372773227906839e-01,48,2276.857959419489
460,91751,7.29041657824875067e-01,37,2296.456023194827
480,92995,7.61360259907866266e-01,60,2328.135890252888
500,94415,7.68231420007930987e-01,68,2364.308856068179
520,95675,8.79204372997027916e-01,60,2396.4156365487725
540,96935,8.81836106726585078e-01,60,2428.5417144559324
560,98195,8.68683439918191969e-01,60,2460.689580125734
580,99455,8.80766570402118476e-01,60,2492.8200010620058
600,100715,8.70260403569817043e-01,60,2524.9669095827267
620,101975,8.99175223117607003e-01,60,2557.1489432035014
640,103235,9.12413490520848858e-01,60,2589.272384814918
660,104495,9.14567592293836218e-01,60,2621.4101979732513
680,105755,9.06379583158805957e-01,60,2653.5144178383052
700,107015,8.91364121083404237e-01,60,2685.6463004769757
720,108275,8.81556997930742714e-01,60,2717.7952450476587
740,109535,8.45173079997014520e-01,60,2749.878417461179
760,110795,8.86440438339071379e-01,60,2782.008596394211
780,112055,8.67561888210115151e-01,60,2814.136986247264
800,113315,8.92710473836200613e-01,60,2846.2448318395764
820,114575,8.22982822072089282e-01,60,2878.3949319934472
840,115835,8.59653730488556200e-01,60,2910.5072767026722
860,117095,8.29988560357951988e-01,60,2942.637188551016
880,118355,7.48808551679283063e-01,60,2974.755414923653
900,119615,7.54714718821565267e-01,60,3006.887721342966
920,120875,8.89619546628190871e-01,60,3039.0022182827815
940,122135,8.06825362673524671e-01,60,3071.1147378096357
960,123395,8.30190426526362546e-01,60,3103.239498604089
980,124655,8.68189028729072110e-01,60,3135.364239213057
1000,125915,9.03919657371599294e-01,60,3167.5092297391966
1020,127175,8.58259996009426707e-01,60,3199.6152875842527
1040,128435,8.57385978823061667e-01,60,3231.719786202535
1060,129695,8.73843189613847438e-01,60,3263.8967668702826
1080,130955,8.54270171644084586e-01,60,3296.0346186347306
1100,132215,8.88555335585958894e-01,60,3328.2377938162535
1120,133475,8.87922319059025300e-01,60,3360.3427819535136
1140,134735,9.06099387088760921e-01,60,3392.506163045764
1160,136635,9.05035296635404607e-01,91,3440.9456525733694
1180,137959,8.97464609966227456e-01,64,3474.6313272649422
1200,139219,9.23039274580733426e-01,60,3506.7817525053397
1220,140607,9.18252288571722586e-01,67,3542.169551323168
1240,141867,8.97329855378145469e-01,60,3574.305287142284
1260,143127,9.02191709887022020e-01,60,3606.4677577037364
1280,144387,9.05639647009601312e-01,60,3638.605869648047
1300,145647,8.67165911621812224e-01,60,3670.760028413497
1320,146907,9.12431024750924080e-01,60,3702.9148400789127
1340,148167,9.04603850661827247e-01,60,3735.076165222563
1360,149427,9.16747747146490100e-01,60,3767.214025700465
1380,150687,9.10774780514358340e-01,60,3799.362750582397
1400,151947,8.95441338099417727e-01,60,3831.4628443159163
1420,153207,9.01615344477900926e-01,60,3863.5740881972015
1440,154467,8.24947412817384373e-01,60,3895.7135481154546
1460,155727,8.64746118110943152e-01,60,3927.8473895797506
1480,156987,8.66685703134156715e-01,60,3959.966787757352
1500,158184,8.97907330492440314e-01,60,3990.5081181898713
