"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,39,2.50000078397495162e-01,2,1.36363643237820048e-01,5,4.27683690492148660e-01,2,0.2070863469998585
1,42,,,2.50000000000000000e-01,1,,,0.22457692799980578
2,51,,,1.25000000000000000e-01,2,2.18998428039818616e-01,2,0.27468368700010615
3,816,7.10057449180284822e-02,23,4.93023286084324719e-01,128,4.93035372506125946e-01,128,4.463346556000033
20,21291,8.03525194305038215e-01,392,7.46856796986341220e-01,357,7.49451198532531948e-01,341,119.19642245499972
40,38067,7.45660089545929883e-01,217,7.70553807989148076e-01,282,7.64676351260278442e-01,213,212.3323257349998
60,50466,7.66087425343467077e-01,252,7.56001307916780219e-01,183,7.34382183912098974e-01,196,280.99279825500025
80,61497,7.43972003137964299e-01,176,7.56944092347995312e-01,186,7.34212747569469748e-01,187,342.8027342390001
100,72708,7.71307252889779971e-01,87,7.38699972798671167e-01,182,7.50957901263409999e-01,59,406.373516094
120,73989,7.45527039628852362e-01,27,7.14806827748265761e-01,21,7.79632325092408429e-01,26,413.4977293039997
140,75273,7.15615897127919842e-01,20,7.49596652279930553e-01,21,7.49905129437275164e-01,20,420.7565393939999
160,76386,7.19820003111962370e-01,21,6.82111257264201853e-01,18,7.52467052630159783e-01,20,427.049372037
180,77886,7.61199340453175943e-01,30,7.79793181534702562e-01,24,7.75638944634054917e-01,20,435.5948089990002
200,79098,7.66311046891410497e-01,21,7.50819871022877838e-01,20,7.03647134939909380e-01,18,442.4150699939996
220,80502,7.53151297620340388e-01,20,7.45878118750654573e-01,23,7.16358058329063740e-01,30,450.1055129219999
240,81786,7.28051789635287605e-01,19,7.68072295907512248e-01,21,7.61329299361720224e-01,25,457.35317840499965
260,83040,7.48470647371849651e-01,28,7.19853156340749645e-01,20,7.46847653878605966e-01,19,464.2635470709997
280,84276,7.27944210890798638e-01,27,7.52174037668747464e-01,20,7.62690900986544129e-01,24,471.25932872600015
300,85431,7.54496721527319836e-01,23,7.67783203903691702e-01,18,7.57792012827861461e-01,19,477.80520670299984
320,86907,7.38650930305126185e-01,24,7.30108832615307901e-01,23,7.66466565302681091e-01,18,485.98015766900016
340,88200,7.66024101026129611e-01,20,7.66551583627485433e-01,23,7.50318391326490475e-01,19,493.3409507450001
360,89388,7.75788958354000080e-01,17,7.57089730061969779e-01,19,7.49240885778478027e-01,23,500.2175962369997
380,90528,7.44389259908280199e-01,17,7.58453391401815447e-01,19,7.75038524521370897e-01,19,506.8787033960002
400,91668,7.57902550732806657e-01,20,7.59941855046589398e-01,19,7.54372850794655991e-01,22,513.3831009609999
420,92856,7.62165600890877926e-01,18,7.62914762181971184e-01,19,7.17953817073545109e-01,19,520.0405946739997
440,94140,7.46568270173586734e-01,16,7.64627257612464306e-01,21,7.45569558794886067e-01,22,527.3748911440002
460,94950,7.28512392307924639e-01,23,7.21459146334889390e-01,13,7.51028704472965103e-01,20,531.9952591460001
480,96738,7.58485528505792761e-01,23,7.52675473396422934e-01,29,7.56163303825768685e-01,15,542.0596640509998
500,98022,8.11433233043265090e-01,16,7.34819488569955381e-01,21,7.97171333887107147e-01,15,549.2310700189996
