"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,36,4.37500000000000000e-01,4,4.50000000000000011e-01,2,3.75000000000000000e-01,2,34.22228421270847
1,39,2.50000000000000000e-01,1,1.66666666666666657e-01,1,,,34.268919800408185
2,42,2.50000000000000000e-01,1,,,,,34.29942443780601
3,84,4.62962962962962965e-01,3,,,2.65006261685842182e-01,8,34.684697695076466
20,44943,7.44427541915038349e-01,719,7.72418963279308479e-01,832,7.57086580754557814e-01,825,1426.5638221502304
40,94416,7.44317770159518610e-01,810,7.27785910170452577e-01,786,7.64805459609663063e-01,791,2993.930007740855
60,149646,7.68492601347625426e-01,921,7.78032758352822928e-01,864,7.48881866204339275e-01,878,4748.072688352317
80,201882,7.39889284114053858e-01,818,7.48287258124015864e-01,829,7.42430972989451710e-01,830,6405.697537029162
100,253389,7.43566966127897633e-01,558,7.11417856645140234e-01,759,7.90194341390407784e-01,818,8026.308837731369
120,270654,7.62306188700850984e-01,168,7.59174933024848619e-01,304,7.44172270635910849e-01,192,8589.75297010038
140,283578,7.43752658000412237e-01,182,7.61831524991852804e-01,206,7.35714679194430232e-01,172,9011.756542800926
160,298242,7.69521491770260857e-01,137,7.04527284633601258e-01,233,7.51218548838747613e-01,259,9450.132856664248
180,315168,7.83948311871781267e-01,160,7.54871526293959039e-01,269,7.69973266255019606e-01,179,10010.848485765979
200,324231,7.17300752641421790e-01,125,7.76570687868625043e-01,144,7.73496199023121944e-01,163,10296.345492377877
220,336600,7.49881855182863433e-01,267,7.40496311484537761e-01,197,7.48241450426942012e-01,178,10679.592841910198
240,347691,7.69015751229040645e-01,163,7.48739676103418850e-01,177,7.19120377186964865e-01,131,11017.615786582232
260,359739,7.43462992210901286e-01,226,7.22996341091054262e-01,191,7.70289042162891180e-01,131,11398.702716757543
280,372240,7.58963592685035882e-01,174,7.85727126863274172e-01,199,7.73176585987099152e-01,145,11817.273934781551
300,382620,7.74931241826362860e-01,156,7.23143945184066217e-01,165,7.66229572364222733e-01,147,12149.046819021925
320,392034,7.60542416325639015e-01,149,7.83828114021410727e-01,150,7.43296780970564730e-01,111,12437.617874726653
340,401259,7.56887167424770135e-01,137,7.46653977583143336e-01,147,7.63112721654477300e-01,133,12724.652585849166
360,410625,7.51098427951351733e-01,148,7.47760728731400537e-01,149,7.91481728492774650e-01,118,13013.363378584385
380,420186,7.54688507608180958e-01,140,7.40852370494250678e-01,152,7.09048747854037598e-01,106,13337.260965949856
400,430134,7.52146566043270348e-01,159,7.81909891047360750e-01,158,7.31219955311784409e-01,181,13630.823920857161
420,439332,7.46095859154858543e-01,181,7.61784730878157790e-01,146,7.67642085474061986e-01,255,13917.808525637724
440,447582,7.36204420635848455e-01,172,7.28053382302742191e-01,131,7.42970207417139372e-01,152,14196.623280542903
460,456150,8.40855743822598312e-01,134,7.57467137940985302e-01,136,9.21741378270611977e-01,128,14477.260786470026
480,472065,9.17699319374057798e-01,125,7.56437193731883895e-01,253,9.16871050954904510e-01,124,14960.481021556072
500,483933,9.06604436656217816e-01,124,7.50581643998525117e-01,189,8.92665798835582835e-01,124,15339.497269148007
520,493473,9.14594717248685019e-01,123,8.65588500711749309e-01,152,8.87415426873770952e-01,123,15630.580785603262
540,503781,8.74849277013853954e-01,123,8.97633184389980077e-01,164,9.25456862207757358e-01,123,15962.808947422542
560,514857,9.07977066071348871e-01,123,8.87804797690921244e-01,176,8.98466693744994660e-01,123,16336.995217309333
580,525933,8.83286167536159739e-01,123,8.88368985634586217e-01,176,9.06823875746891161e-01,123,16675.702285720035
600,536241,9.03969117536822631e-01,123,8.94573920297037417e-01,164,8.66105993492979898e-01,123,17007.33420603536
620,545397,8.95357886877600428e-01,122,8.85584504380785509e-01,146,8.80291759809429752e-01,122,17294.30581958592
640,555705,9.07610711603183851e-01,123,8.96950520012916419e-01,164,8.96462860031789099e-01,123,17625.489263436757
660,566013,9.02778742345049734e-01,123,9.17790515050060041e-01,164,8.60986192827836949e-01,123,17956.996771013364
680,577089,9.12298974259081574e-01,123,9.09055855923582068e-01,176,8.87382983317082652e-01,123,18295.50175547134
700,587397,8.70566059047216512e-01,123,8.85138511443943177e-01,164,8.88012741021234620e-01,123,18627.131084172986
720,599241,9.02068414937925445e-01,124,9.07229452968258743e-01,188,9.08570892858784229e-01,124,19006.03327976633
740,609165,8.81896602228689264e-01,123,8.88509253439514257e-01,158,8.74386937406541942e-01,123,19334.377182716504
760,619089,8.92300770336786453e-01,123,8.98847653968027349e-01,158,8.79200948119547632e-01,123,19627.958839158528
780,629013,9.06183613393133913e-01,123,8.80162475630441810e-01,158,9.00224398577571194e-01,123,19955.760812454857
800,639851,8.87140618118810842e-01,123,9.04521290154973956e-01,182,9.15615961414081414e-01,123,20360.17636813689
820,643716,4.87323358514767824e-01,64,8.88013435130745266e-01,182,,,20753.33771119453
840,647280,,,8.97874190942572703e-01,170,,,21041.89384650532
860,651228,,,9.05275450144141791e-01,188,,,21438.602645952255
880,654920,,,9.02951244853359092e-01,176,,,21729.48134931922
900,658868,,,8.83387661786112388e-01,188,,,22126.23029176239
920,662432,,,9.07342034168699185e-01,170,,,22415.83065497782
940,666124,,,9.05836628979165837e-01,176,,,22806.864222182892
960,669816,,,8.98497430373071726e-01,176,,,23098.51069083903
980,673124,,,8.75007304418940479e-01,158,,,23380.75505851861
1000,676561,,,8.97487687957659319e-01,172,,,23731.77576842159
