"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,24,4.16666666666666685e-01,2,3.75000000000000000e-01,2,4.16666666666666630e-01,1,121.86895371973515
1,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,121.87518005352467
2,30,2.50000000000000000e-01,1,2.50000000000000000e-01,1,,,121.95697124116123
3,33,,,2.50000000000000000e-01,1,,,122.0433641448617
20,37716,7.55861207336747776e-01,634,7.60188869754900742e-01,541,7.67613267202019278e-01,698,4190.496602942236
40,83799,7.57813156437560864e-01,751,7.62078402993010107e-01,670,7.62634066794987908e-01,732,9099.474478734657
60,123951,7.37144223951434308e-01,676,7.57642834872058302e-01,712,7.31688871673310537e-01,598,13478.925433469005
80,165900,7.68274812063681201e-01,655,7.59967963318888162e-01,692,7.61153537083335219e-01,707,18027.25296334643
100,206982,7.21577504407128423e-01,553,7.64348056091983530e-01,421,7.52662358792756891e-01,652,22433.41653803177
120,226926,7.61641723699414852e-01,180,7.49246924338306752e-01,399,7.06493483758711571e-01,317,24680.244682865217
140,244323,7.50683323640816691e-01,190,7.24158123703359413e-01,234,7.50269100239359332e-01,277,26490.41056155786
160,260211,7.67725367846524676e-01,209,7.68008826850031467e-01,262,7.46285711783218120e-01,252,28261.961199827492
180,275919,7.68846597023115419e-01,159,7.79496886036621817e-01,209,7.50597295877974524e-01,250,29907.48370403424
200,293580,7.45886104272993400e-01,179,7.76087479235796684e-01,169,7.51532506800713263e-01,281,31847.200624216348
220,307293,7.52238477992689503e-01,206,6.92296810105831439e-01,194,7.50695023361950042e-01,218,33320.44352411479
240,321576,7.69978772407042600e-01,193,7.56452638281331580e-01,265,7.68026907688468929e-01,227,34933.64166719746
260,337104,7.43637284620699557e-01,226,7.69687770575523067e-01,233,6.99829853522017542e-01,247,36579.26145518478
280,352884,7.74252346796634572e-01,178,7.78570295640420906e-01,182,7.58188380976635323e-01,251,38353.13453616947
300,368274,7.68939090836799122e-01,183,7.53216622963308380e-01,172,7.43031260262089988e-01,245,39994.7288575694
320,385527,7.71729335416071360e-01,180,7.74376922462599260e-01,173,7.58693002308160613e-01,274,41933.17638182361
340,400872,7.75321067362321870e-01,187,7.71630392669036769e-01,204,7.66583273818406963e-01,244,43571.86379155144
360,413355,7.18699054185172326e-01,129,7.53130717469411848e-01,178,7.43225640717756431e-01,199,44890.521885715425
380,428310,7.62620525916753111e-01,263,7.42881872813870747e-01,172,7.66099863678933790e-01,238,46523.82184204366
400,439170,7.69872160057714083e-01,211,7.53409600595336015e-01,211,7.57750566557900851e-01,173,47676.11652131844
420,448056,8.51613618347943357e-01,234,7.61483080792014322e-01,186,7.45054265827309825e-01,141,48658.92148216162
440,460536,8.61087847971618192e-01,241,8.20736200920190950e-01,164,7.72095461943323458e-01,199,50104.94621620979
460,470565,8.85173334628368558e-01,237,8.48281633475972741e-01,128,6.88434659716191333e-01,159,51115.227704497986
480,490152,9.00142035922539829e-01,246,9.08754584588889691e-01,141,7.77665803792008892e-01,311,53242.92554862425
500,507789,8.96340986854589183e-01,245,8.90654002588552540e-01,140,7.66975909024225744e-01,280,55194.98276287038
520,523089,8.69099187580770205e-01,243,8.81196847568641695e-01,142,9.10297775067671511e-01,243,56837.834502156824
540,538389,8.84871499722635901e-01,243,8.87098540686025783e-01,149,9.03563888897221057e-01,243,58475.3226862615
560,553689,8.94754431009554541e-01,243,9.04820813063486162e-01,134,9.00246018820631932e-01,243,60234.74151927326
580,568989,8.71996684429028113e-01,243,9.16669971592430688e-01,142,9.00350276355808554e-01,243,61871.532905346714
600,584289,8.88987409761667458e-01,243,9.02936924102217153e-01,150,8.96004913813783110e-01,243,63508.55148967076
620,599589,7.98268902635757116e-01,243,8.77734729591311713e-01,155,8.92087510903236014e-01,243,65143.57722640969
640,614889,8.84674915227876113e-01,243,8.94665837903747763e-01,131,8.96789949858018964e-01,243,66781.60532709397
660,630189,9.02757384165457699e-01,243,8.91734452257922694e-01,134,8.84832463584768747e-01,243,68540.67147609778
680,645489,9.16560312417213141e-01,243,9.15510428359112449e-01,142,8.87558648079238344e-01,243,70177.15956430975
700,660789,8.96090388056630438e-01,243,8.90414368463930517e-01,131,9.02593641623035348e-01,243,71813.76409264095
720,673784,8.53470645254590377e-01,243,8.62362873941274977e-01,140,9.06104263214378980e-01,243,73892.86275394168
740,683984,8.21520646538266619e-01,243,,,9.03108655467662613e-01,243,76751.4899139572
760,694184,8.51424368450780511e-01,243,,,8.73238544200237499e-01,243,79491.43320214748
780,704384,8.89545991807825009e-01,243,,,9.08866850523370018e-01,243,82348.82392154168
800,714584,9.03225416616821319e-01,243,,,9.14826730142175637e-01,243,85089.54786796123
820,724784,8.58137143438521210e-01,243,,,8.93768832226341736e-01,243,87828.4530170476
840,734984,8.54117240757882090e-01,243,,,8.91856392064345638e-01,243,90569.20583205763
860,745184,8.65077146458897994e-01,243,,,8.93031080901868335e-01,243,93426.18889718689
880,755384,9.02368784994785456e-01,243,,,8.99020666529949275e-01,243,96282.94809110649
900,765584,8.52472595564951363e-01,243,,,9.18982626651912105e-01,243,99023.9949159231
920,772243,8.41348128649539673e-01,224,,,9.09941999231889675e-01,243,100826.4649787359
940,777343,,,,,9.10280067200582188e-01,243,102626.69306270778
960,782443,,,,,9.10718624685395106e-01,243,104077.81154386979
980,787543,,,,,9.09431303984598038e-01,243,105760.76607088279
1000,792388,,,,,8.92762521409499632e-01,243,107307.07713691797
