"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,168,4.90566037735849059e-01,26,5.18955783458715847e-01,8,4.05714287932325668e-01,9,2.2985119447112083
1,171,2.50000000000000000e-01,1,,,,,2.337191792204976
2,174,2.50000000000000000e-01,1,,,,,2.3700303211808205
3,180,3.33333333333333315e-01,1,,,,,2.4322161246091127
20,37998,7.43682607713385235e-01,548,7.57369482852415898e-01,743,7.87927473365286568e-01,451,392.67307070083916
40,84246,7.49034103292705034e-01,627,7.67584291931116658e-01,735,7.33560115179671679e-01,655,868.249622695148
60,125898,7.61172892617285268e-01,694,7.47630522392218166e-01,662,7.60169216839290285e-01,698,1295.8259240975603
80,167037,7.61717107139823768e-01,670,7.66583720010687641e-01,653,7.62034447936443371e-01,678,1719.6596523011103
100,203757,7.35890609497237391e-01,530,7.64532344391706142e-01,583,7.63140944059776505e-01,420,2095.6715277004987
120,222945,7.61401746519788536e-01,181,7.17189005662087320e-01,305,7.30834034816182143e-01,153,2292.247976419516
140,235818,6.89134922735261557e-01,256,7.52992994522669656e-01,205,7.65260449930591502e-01,329,2424.6806454295292
160,244254,7.04518141227500228e-01,295,7.20253190780094199e-01,134,7.51925869208494246e-01,165,2510.4500445835292
180,256914,7.47209031180557592e-01,241,7.57483629826158245e-01,201,7.57015991407250510e-01,173,2641.42362554837
200,274956,7.78331586231182926e-01,160,7.47545813406450099e-01,287,7.66844723672332695e-01,172,2826.4428163059056
220,286152,7.48322078381920996e-01,155,7.66520352517717218e-01,178,7.11437098509075438e-01,285,2940.801893511787
240,296271,7.20970353064233516e-01,146,7.53717196704134507e-01,161,7.69448041989446718e-01,197,3044.490424641408
260,305490,7.24109926902931744e-01,184,7.24806654035727749e-01,146,7.59143682770442974e-01,154,3139.652087266557
280,322374,7.78175181585290199e-01,197,7.56566591517750076e-01,268,7.61090804956461198e-01,234,3313.1063474360853
300,339630,7.74839493643754151e-01,152,7.44922090578170604e-01,274,7.65066263965885285e-01,215,3490.3283484317362
320,349713,7.64223648854707505e-01,167,7.67821803167112904e-01,161,7.42733848640729333e-01,175,3593.8154907952994
340,363159,7.55380407679408616e-01,150,7.56406061218899528e-01,214,7.77537777748077308e-01,147,3731.7864229409024
360,374352,7.66787794921070520e-01,135,7.48528509126572872e-01,178,7.66088744163212376e-01,154,3845.869372168556
380,387771,7.57462191557659037e-01,141,7.41715979172582363e-01,213,7.61223989319331773e-01,126,3983.388299519196
400,400593,7.21390024075689751e-01,296,7.72303179726363531e-01,204,7.43789806288187583e-01,151,4115.167010451667
420,412011,7.34584127666832898e-01,243,7.67235008267259544e-01,182,7.46353124151541203e-01,194,4231.816749899648
440,422007,7.66858637411285904e-01,277,7.66655306950140947e-01,159,8.48566632161737777e-01,237,4334.543100312352
460,431742,8.39540356728256665e-01,208,6.90878312131274375e-01,155,8.19735620146144872e-01,236,4434.419651558623
480,446397,8.86412936046797717e-01,243,7.54869351467012506e-01,233,8.91561869247382788e-01,232,4585.664721235633
500,458643,8.45823588859800801e-01,240,7.62776698659601626e-01,195,8.85751479373651285e-01,208,4711.450737891719
520,473943,9.10800815036420852e-01,243,8.74283795251539431e-01,243,9.01594205510836022e-01,238,4868.350190319121
540,489243,9.11347238505109458e-01,243,8.93958382782236827e-01,243,8.41775153487732575e-01,232,5026.054210268892
560,504543,9.02858240310048465e-01,243,8.81218760065826778e-01,243,8.26603723550510039e-01,222,5183.095127532259
