"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,16,4.50000000000000011e-01,5,138.32533974666148
1,17,2.50000000000000000e-01,1,138.34071250539273
2,18,2.50000000000000000e-01,1,138.34314277209342
3,21,1.25000000000000000e-01,2,138.71374995727092
20,14424,7.60440710629448180e-01,801,1880.8141755890101
40,32861,7.66104690897854601e-01,878,4092.3463907316327
60,51407,7.57403461811579470e-01,884,6318.071545315906
80,69833,7.71707245520789176e-01,878,8521.843886529095
100,87338,7.35079787850999922e-01,834,10653.923663924448
120,94477,7.12652293167878370e-01,340,11524.831402228214
140,100692,7.76742679952603043e-01,296,12282.040118889883
160,107481,7.01181900017184612e-01,323,13108.889360837638
180,112033,7.57602686825867955e-01,217,13662.508729732595
200,117550,7.58067216246638420e-01,263,14334.755393216386
220,122543,7.56250716335349904e-01,238,14941.85817061644
240,125854,7.49823303593168622e-01,158,15345.093933870085
260,128942,7.03040443566008810e-01,147,15720.848684133962
280,133948,7.73809535410150739e-01,239,16331.779448309913
300,137139,7.49882134291219193e-01,152,16720.727085255086
320,139950,7.71790886150951261e-01,134,17064.216187520884
340,142384,7.24780758222618893e-01,116,17360.747232953086
360,145616,7.65028358059175906e-01,154,17754.569812208414
380,148053,7.49101824962368879e-01,117,18051.162476895377
400,151085,7.70945329530279277e-01,145,18420.497450814582
420,153953,7.70787925618878766e-01,137,18769.839248605072
440,156813,7.65506483876129296e-01,137,19119.046832174063
460,159093,7.39219090486712305e-01,109,19397.125588404946
480,164459,7.37523992168966580e-01,256,20050.393043411896
500,167800,7.70871197711681666e-01,160,20457.961973140016
520,170596,8.94503427146420727e-01,134,20798.11739197746
540,173904,9.16396010106203196e-01,158,21200.67778832279
560,176444,8.85685507565931451e-01,121,21510.003349532373
580,179112,9.00844171598418564e-01,128,21835.20341835916
600,182036,8.81246383566352320e-01,140,22192.005219270475
620,184576,8.59262021177319646e-01,121,22501.440996733494
640,187372,8.99984357189114959e-01,134,22841.604202071205
660,190424,8.82062912972510604e-01,146,23214.043917796575
680,193348,8.82762528417543102e-01,140,23570.663049724884
700,196400,9.19797192707744959e-01,146,23942.97323374916
720,199068,9.01577873612512515e-01,128,24268.576332402416
740,201736,8.45712593425679282e-01,128,24593.929924125783
760,204532,8.83987220626937797e-01,134,24934.721361991018
780,207072,9.13302008384188957e-01,121,25244.369064366445
800,209612,8.73037901907339098e-01,121,25554.321911124513
820,212536,8.76130927455489927e-01,140,25910.13831495866
840,215332,8.99119312323793496e-01,134,26250.949458262883
860,218000,8.74095252429017422e-01,128,26576.34365066327
880,220924,8.82847594620845166e-01,140,26934.14375706017
900,224488,8.98788690739121043e-01,170,27368.936556235887
920,227156,8.84309421584170918e-01,128,27693.76207459718
940,229952,9.03484282292933982e-01,134,28034.700224258937
960,232876,8.78449359028769305e-01,140,28390.86715502385
980,235800,8.80120826119539901e-01,140,28747.983987757936
1000,239108,9.01900697248014693e-01,158,29151.196424371563
1020,241776,8.80127775626408537e-01,128,29477.105539531447
1040,244316,8.95516837682261757e-01,121,29787.220945331268
1060,246856,8.86118607787364287e-01,121,30096.562175921164
1080,249524,8.77015733140628639e-01,128,30421.623283996247
1100,252192,8.91728871434037562e-01,128,30746.32269735448
1120,255500,8.69157391755848385e-01,158,31149.06997849606
1140,258808,8.57445630895499078e-01,158,31552.02646583412
1160,261604,8.83985062157863988e-01,134,31893.28539947141
1180,264912,8.93125417841270863e-01,158,32296.753542737104
1200,267580,9.20356767527232278e-01,128,32622.851536989212
1220,270504,8.97253429283783044e-01,140,32978.65945083462
1240,273556,9.02308697496007284e-01,146,33350.94344880525
1260,276352,8.85294247045561589e-01,134,33684.52504439559
1280,279020,9.12066345799020239e-01,128,34002.747151711024
1300,281816,8.78032131255035653e-01,134,34337.38483229652
1320,284612,8.95674031773322388e-01,134,34671.32757185958
1340,287280,8.86860005263600648e-01,128,34989.52864523046
1360,289948,8.84376500817676714e-01,128,35307.64226432983
1380,292488,8.98746335919849537e-01,121,35610.98575698957
1400,295284,8.85921488839817695e-01,134,35944.98338780645
1420,297952,8.82367103948518250e-01,128,36263.08468762413
1440,300620,8.81266854595676663e-01,128,36581.416314881295
1460,303544,9.09338835511691701e-01,140,36937.65373418387
1480,306340,8.83820570622926738e-01,134,37277.818394545466
1500,308881,9.04052511687994942e-01,128,37586.93649841938
