"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,15,4.50000000000000011e-01,5,145.1013306453824
1,16,2.50000000000000000e-01,1,145.1766435606405
2,17,2.50000000000000000e-01,1,145.17974638100713
3,20,2.50000000000000000e-01,2,145.36781043559313
20,10312,7.65832601714952599e-01,572,1005.2273265579715
40,26706,7.57437501214617392e-01,781,2362.928112503141
60,44119,7.29908381069187095e-01,830,3804.8860965026543
80,63562,7.62206360699666408e-01,926,5418.470319799148
100,80477,7.61782230492109136e-01,806,6822.170472797006
120,90967,7.21280680419771669e-01,500,7694.494771602564
140,100458,7.40346959591311027e-01,452,8483.773122909479
160,109429,7.31818062304076977e-01,427,9230.489038112573
180,116914,7.59557647573533057e-01,357,9852.813116840087
200,123171,7.62519514893057249e-01,298,10373.945547944866
220,129051,7.66939540350980220e-01,280,10862.363950422034
240,134828,7.50986525700836238e-01,276,11343.9406296378
260,140302,6.88554935312804872e-01,261,11797.275528978556
280,150280,7.90855537305870993e-01,476,12630.25464977324
300,158107,7.44131199752147920e-01,373,13281.696338451467
320,165432,7.64277053361368197e-01,349,13890.200341670774
340,173225,7.41670303886909354e-01,372,14538.230363556184
360,180134,7.70864828981776218e-01,329,15112.805892479606
380,185637,7.56723944626291778e-01,263,15570.966275732033
400,190926,7.54882498479051534e-01,252,16010.297742688097
420,196933,7.58762514794839249e-01,287,16510.03364085406
440,203103,7.60678963626550186e-01,294,17023.315671041608
460,209500,6.95845977088509038e-01,305,17556.681863378733
480,218539,7.64679658821134312e-01,431,18308.34275684692
500,225421,7.80458297802220535e-01,328,18882.47031276021
520,230521,8.75170512660184641e-01,243,19306.5139907049
540,235621,8.42830494452291523e-01,243,19731.2351996731
560,240721,8.61511476637647378e-01,243,20155.348468976095
580,245821,8.92936730989277172e-01,243,20579.39274713397
600,250921,8.53386286465346977e-01,243,21005.30000855308
620,256021,8.51707553683099583e-01,243,21429.00048143044
640,261121,8.23355645506751110e-01,243,21853.371215316467
660,266221,8.80872234088692307e-01,243,22277.888075103983
680,271321,8.77168706975795076e-01,243,22703.318636099808
700,276421,9.07573500048679316e-01,243,23130.25958246924
720,281521,8.89987082867272128e-01,243,23555.60125652235
740,286621,8.94005868059261188e-01,243,23979.758579891175
760,291721,8.81587029656774823e-01,243,24403.70385670755
780,296821,8.86183360831294009e-01,243,24828.10390970949
800,301921,8.39761642150147702e-01,243,25252.455161117017
820,307021,8.83395052234419942e-01,243,25676.404759387486
840,312121,8.47959839138674787e-01,243,26101.317869645543
860,317221,8.23004442440358641e-01,243,26524.359603347257
880,322321,8.67755323002482815e-01,243,26948.944127606228
900,327421,8.11780957448221541e-01,243,27372.429840357043
920,332521,8.61255846663614433e-01,243,27796.651145003736
940,337621,8.71347171992408187e-01,243,28218.488755466416
960,342721,8.98760800218491918e-01,243,28643.151494489983
980,347821,8.78074529078726074e-01,243,29066.78856785968
1000,352921,8.72749969297467731e-01,243,29490.144866441377
1020,358021,8.83280537525669596e-01,243,29913.76720517315
1040,363121,8.56739025366380247e-01,243,30337.779274779372
1060,368221,8.78011788898595769e-01,243,30763.580606115982
1080,373321,8.49089409523909211e-01,243,31188.418605621904
1100,378421,8.72406916413761557e-01,243,31611.82369574718
1120,383521,8.78240577613943585e-01,243,32036.508808245882
1140,388621,8.65164271135119511e-01,243,32462.040504938923
1160,393721,8.53187449364050332e-01,243,32886.20587199647
1180,398821,8.38433214318894393e-01,243,33309.54924176447
1200,403921,8.57926603956008615e-01,243,33733.63303041551
1220,409021,8.46341813962932399e-01,243,34156.84337930661
1240,414121,8.87883134549742659e-01,243,34578.56354113668
1260,419221,8.76305560682103191e-01,243,35002.385020292364
1280,424321,8.76503327512316077e-01,243,35426.380626824684
1300,429421,8.84255680004736977e-01,243,35850.20830979105
1320,434521,8.89850520489387176e-01,243,36276.28290794417
1340,439621,8.67046725105884319e-01,243,36700.227022103965
1360,444721,8.22191088087519395e-01,243,37122.73001567181
1380,449821,8.61655747612792400e-01,243,37545.94354151748
1400,454921,8.91943495599502589e-01,243,37970.137549608015
1420,460021,8.62423215760244943e-01,243,38393.59455187991
1440,465121,8.74551255378340553e-01,243,38817.169969921
1460,470221,8.97617180254223768e-01,243,39241.339706833474
1480,475321,8.77289949622170995e-01,243,39666.88374141138
1500,480166,8.89723431182891766e-01,243,40070.40241420176
