"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,30,4.50000000000000011e-01,2,3.75000000000000000e-01,2,4.16666666666666685e-01,2,0.1931904973462224
1,33,,,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.25745514035224915
2,36,3.75000000000000000e-01,2,2.50000000000000000e-01,1,,,0.27667837496846914
3,45,3.75000000000000000e-01,2,3.75000000000000000e-01,2,3.75000000000000000e-01,2,0.3233522670343518
20,25446,7.58845232136925119e-01,349,7.90199266248854837e-01,471,7.70819391868177384e-01,312,91.83679425064474
40,71529,7.52479615960179760e-01,692,7.56636185777601500e-01,732,7.35562751638782708e-01,787,259.75277443416417
60,113748,7.48752645457749555e-01,640,7.64020909705393492e-01,671,7.90944156600662418e-01,752,413.6053671082482
80,163608,7.56973834760759634e-01,759,7.51675707244220170e-01,792,7.64787185174995554e-01,671,595.8659558622167
100,212793,7.70809343326813612e-01,171,7.66213756481758046e-01,781,7.62327869692255189e-01,192,774.7994904695079
120,219114,7.57838408168596045e-01,132,7.06856713176208573e-01,101,7.54523030501826453e-01,97,798.0828480366617
140,225606,7.36392319867252176e-01,143,7.57857373362620157e-01,104,7.58782562105041580e-01,76,821.6316257622093
160,232122,7.60687532307508629e-01,136,7.57246049173234792e-01,104,7.75447693908438374e-01,85,845.257716530934
180,240762,7.42499322587400479e-01,101,7.43705009103827419e-01,138,7.15915067837397556e-01,95,876.725090499036
200,249027,7.54517728567233537e-01,112,7.54082641737654824e-01,132,7.77165136107795917e-01,121,906.7602013740689
220,257850,7.85794984424855958e-01,95,7.38577830457096463e-01,141,7.58847520143778986e-01,99,938.9183461936191
240,265248,7.53243827786514109e-01,87,7.79302597113778472e-01,118,7.62165948207554678e-01,104,965.9250503256917
260,271575,7.70148397426672848e-01,79,7.27144603609753304e-01,101,7.69134063153623426e-01,90,989.0102059049532
280,278841,7.60837111440372582e-01,80,7.60250121071377016e-01,116,7.64945507428193783e-01,90,1015.5700515611097
