"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,13,3.75000000000000000e-01,2,0.08110496867448092
1,14,2.50000000000000000e-01,1,0.0929812341928482
2,15,2.50000000000000000e-01,1,0.0955048380419612
3,16,2.50000000000000000e-01,1,0.09846448618918657
20,63,6.81404873310919035e-01,3,0.8240015367045999
40,268,7.45931216293645116e-01,10,4.915641834959388
60,478,7.50033451860785627e-01,10,9.105363457463682
80,719,7.29914408473960163e-01,12,13.93082542810589
100,1012,7.80663018988931867e-01,14,19.767804824747145
120,1188,7.37840136054421558e-01,9,23.10508817527443
140,12271,7.65702498012295840e-01,528,246.2142381258309
160,29675,7.49507757430691202e-01,829,596.3657059576362
180,48100,7.51106989352646748e-01,878,972.0601041335613
200,65511,7.39292047246511208e-01,830,1327.0365457925946
220,82405,7.54497275699059444e-01,805,1667.0275564761832
240,101847,7.58654951661333010e-01,926,2058.5531927496195
260,110546,7.27222977026747652e-01,414,2230.6743954168633
280,112714,7.47709077791419041e-01,104,2273.5410859202966
300,115126,7.67870974521757899e-01,115,2321.3166698422283
320,116841,7.64691295185769837e-01,82,2355.302906634286
340,119010,7.44101488472773687e-01,104,2398.245227047242
360,120974,7.71484459155734270e-01,94,2437.179243762046
380,123066,7.42288373683579805e-01,100,2478.714144640602
400,124902,7.52568179144072702e-01,88,2514.98093187809
420,126872,7.70126970750922846e-01,94,2553.952552038245
440,128836,7.46702582084722066e-01,94,2592.805761004798
460,131260,7.51781768022783736e-01,116,2640.7516697691754
480,134019,7.41699557159086975e-01,132,2695.3544608149678
500,136179,7.66331327274931251e-01,103,2738.1159488856792
520,138719,8.58100660136199789e-01,121,2788.3499320214614
540,141259,8.21085943975534360e-01,121,2838.58168943692
560,143799,8.10150085339697235e-01,121,2888.9882716722786
580,146339,8.50525607471129930e-01,121,2939.3115516928956
600,148879,8.22206119237880562e-01,121,2989.511643687263
620,151419,7.89979770611102583e-01,121,3039.706289978698
640,153959,8.47541279042070661e-01,121,3090.036570608616
660,156499,8.14550528451189138e-01,121,3140.238873315975
680,159039,8.64726527252624999e-01,121,3190.486935905181
700,161579,8.37837066795750762e-01,121,3240.597797071561
720,164119,8.22400718391785412e-01,121,3290.907590953633
740,166659,8.58825584905165029e-01,121,3341.1081621367484
760,169199,8.21457119715368167e-01,121,3391.4073051903397
780,171739,8.24569081607476217e-01,121,3441.6469312300906
800,174279,8.41731451937768549e-01,121,3491.9028599429876
820,176819,8.09555150766572584e-01,121,3542.1216089092195
840,179359,8.27716910576732134e-01,121,3592.28642175626
860,181899,8.61528631038985693e-01,121,3642.6562325926498
880,184439,8.35869614455275634e-01,121,3692.978940565139
900,186979,8.45489517501362919e-01,121,3743.2313072206452
920,189519,8.51527907732104850e-01,121,3793.569011917338
940,192059,8.24938480560081677e-01,121,3843.8836482306942
960,194599,8.50843950199406729e-01,121,3894.168901797384
980,197139,8.64051978041100788e-01,121,3944.399699272588
1000,199679,8.35400902160371106e-01,121,3994.5890426496044
1020,202219,8.32179316910077405e-01,121,4044.8128975126892
1040,204759,8.14617742683161672e-01,121,4095.031068346463
1060,207299,8.74362701976952317e-01,121,4145.1809736909345
1080,209839,7.89877837843410480e-01,121,4195.352490724996
1100,212379,8.28575825702255186e-01,121,4245.561490760185
1120,214919,8.16196183221466032e-01,121,4295.9138255035505
1140,217459,8.44621551671609683e-01,121,4346.252866118215
1160,219999,8.37151761026367791e-01,121,4396.580855606124
1180,222539,8.04665069065370719e-01,121,4446.745239760727
1200,225079,8.17739045934186448e-01,121,4497.071866597049
1220,227619,8.45680794694450566e-01,121,4547.35653435532
1240,230159,8.07446265500067706e-01,121,4597.713396560401
1260,232699,8.18268899540463002e-01,121,4647.964344000444
1280,235239,8.55526205315633836e-01,121,4698.1114757899195
1300,237779,8.29590585583423690e-01,121,4748.282147691585
1320,240319,8.50604173437628397e-01,121,4798.5308523392305
1340,242859,8.23789989536127698e-01,121,4848.8768526101485
1360,245399,8.42811554208006242e-01,121,4899.195039239712
1380,247939,8.49184396988520440e-01,121,4949.496704657562
1400,250479,8.30974947038504830e-01,121,4999.721204701811
1420,253019,8.46538108608777984e-01,121,5050.045560241677
1440,255559,8.39686278191046354e-01,121,5100.331512320787
1460,258099,8.41706214410378850e-01,121,5150.656247369014
1480,260639,8.53538934295060669e-01,121,5200.952417161316
1500,263052,8.57214569821914019e-01,121,5248.655063863844
