"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,7,5.00000000000000000e-01,1,0.08113415259867907
1,8,2.50000000000000000e-01,1,0.11387374345213175
2,9,2.50000000000000000e-01,1,0.1302280193194747
3,10,2.50000000000000000e-01,1,0.146098205819726
20,875,7.86700668105232315e-01,49,11.744822922162712
40,6311,7.69567800526795520e-01,259,84.64841218944639
60,10771,7.52370071529149920e-01,213,144.5081538008526
80,14591,7.58815567409022895e-01,182,195.710604111664
100,18223,7.71828292532443450e-01,173,244.52854017261416
120,19931,7.29822293283551971e-01,82,267.43358224257827
140,21405,7.49943931550671516e-01,71,287.21920240763575
160,22666,6.96506515871979759e-01,60,304.1371232168749
180,24256,7.69233800656831335e-01,76,325.5187000576407
200,25900,7.41493047925163351e-01,79,347.5800570100546
220,27544,7.62681629624000545e-01,79,369.6918832650408
240,29226,7.73555369674214011e-01,81,392.23941222950816
260,30619,7.23946744420847721e-01,67,410.92832395713776
280,32455,7.71341204703909544e-01,88,435.5626510363072
300,33737,7.52251618850939829e-01,62,452.7555870618671
320,35093,7.67589176327035050e-01,65,470.9477254077792
340,36513,7.43759417885152430e-01,68,490.0156845115125
360,37677,7.64963938888722161e-01,56,505.6182872829959
380,38873,7.48941035487711182e-01,57,521.6493175914511
400,40133,7.65597564728208280e-01,60,538.557459384203
420,41201,7.49620022715364542e-01,51,552.9009594786912
440,42461,7.63490649225786910e-01,60,569.7992538493127
460,43793,7.47424003918318869e-01,64,587.6597263058648
480,45796,7.54803293072741299e-01,96,614.5609884336591
500,47472,7.74152608305878731e-01,80,637.0540852919221
520,48732,8.50490504202317754e-01,60,653.9763762522489
540,49992,8.74407458283517292e-01,60,670.8965794108808
560,51252,8.42158480093683992e-01,60,687.8023719945922
580,52512,8.54811853891971118e-01,60,704.7282530684024
600,53772,8.59996015504199907e-01,60,721.6287728175521
620,55032,8.43546106752015468e-01,60,738.5048093097284
640,56292,8.07072240771317451e-01,60,755.4284842675552
660,57552,8.13442629435915499e-01,60,772.3223603926599
680,58812,7.87819024709562887e-01,60,789.2049067215994
700,60072,8.71599749627072207e-01,60,806.0974196372554
720,61332,8.43641074755690945e-01,60,823.0160892838612
740,62592,8.06849012720676328e-01,60,839.9249517749995
760,63852,8.56084846396487076e-01,60,856.8361537195742
780,65112,8.00214493779767833e-01,60,873.7661319049075
800,66372,8.35240048854258621e-01,60,890.6949879489839
820,67632,8.25588103970495424e-01,60,907.5955905206501
840,68892,8.52977452613590481e-01,60,924.476939602755
860,70152,8.23261260958276897e-01,60,941.3830533297732
880,71412,8.30965970173880963e-01,60,958.2882987679914
900,72672,8.48344211725294728e-01,60,975.1797028854489
920,73932,8.50578815823901602e-01,60,992.0916472217068
940,75192,8.40779102466001627e-01,60,1008.9897725721821
960,76452,8.06081619604227861e-01,60,1025.8951701689512
980,77712,8.52040111001658440e-01,60,1042.8007808532566
1000,78972,8.17325402201068973e-01,60,1059.7083396688104
1020,80232,8.30664918417749254e-01,60,1076.6265751468018
1040,81492,8.72737337691828818e-01,60,1093.5575396977365
1060,82752,8.59593228143403776e-01,60,1110.477740989998
1080,84012,8.48018682496318288e-01,60,1127.362653550692
1100,85272,8.30513884350942311e-01,60,1144.2611320000142
1120,86532,8.58031361031554085e-01,60,1161.1632895832881
1140,87792,8.52243510628230672e-01,60,1178.1149912932888
1160,89052,8.35446742574133205e-01,60,1195.0083557879552
1180,90312,8.05157928522784339e-01,60,1211.9094097204506
1200,91572,8.19805843726328143e-01,60,1228.8107108790427
1220,92832,8.69030840681357497e-01,60,1245.7129598604515
1240,94092,8.55605131419215792e-01,60,1262.6179085383192
1260,95352,7.88248958775119579e-01,60,1279.5166845079511
1280,96612,8.53089780714627377e-01,60,1296.4114376334473
1300,97872,8.70318164765093161e-01,60,1313.3164764121175
1320,99132,8.43110525031411040e-01,60,1330.2230482436717
1340,100392,8.35699096733763636e-01,60,1347.1342816893011
1360,101652,8.32162176641301876e-01,60,1364.0420457823202
1380,102912,8.20042784172703598e-01,60,1380.9505760539323
1400,104172,8.42462974202256354e-01,60,1397.8767243362963
1420,105432,8.12963741184088429e-01,60,1414.7828739825636
1440,106692,8.47317993046562967e-01,60,1431.70620797202
1460,107952,8.47383155685094147e-01,60,1448.609342860058
1480,109212,8.37845261111491157e-01,60,1465.5353212608024
1500,110409,8.62561597232119781e-01,60,1481.5648801010102
