"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,393,5.00000000000000000e-01,64,5.00000000000000000e-01,2,5.19273061363877075e-01,13,2.266246802000012
1,396,2.50000000000000000e-01,1,,,,,2.270820068000006
2,543,1.00000000000000002e-02,25,,,1.57347762149877890e-01,31,2.4359391319999872
3,1428,4.98310810810810800e-01,148,4.59288567533362335e-01,128,4.95794519615735896e-01,128,3.4162665640000114
20,11223,7.65914753458627029e-01,174,7.48980431888542242e-01,194,7.64993323983132245e-01,156,29.010221954000002
40,21237,7.84060715753813642e-01,145,7.84617695735859599e-01,159,7.57301560301645083e-01,140,55.330640945
60,28626,7.56133633929397586e-01,110,7.76858600984290604e-01,118,7.35884288737854941e-01,93,74.70132014800001
80,35094,7.52997665190533239e-01,87,7.40335075457757230e-01,103,7.70049709155392059e-01,114,91.28784560300002
100,40539,7.46814880287557381e-01,29,7.56341565088261225e-01,87,7.53124885153030776e-01,31,105.99497097399998
120,41835,7.78436410110843968e-01,26,7.21767979150910732e-01,21,7.73139270696421299e-01,22,107.45097529799997
140,42975,7.55858880465708260e-01,19,7.56169361713581401e-01,19,7.55975745906220298e-01,18,111.20447220999998
160,43926,7.38830305153753808e-01,19,7.16370584255515808e-01,15,7.53314007813531195e-01,18,114.42821486599999
180,44994,7.84576762202900513e-01,16,7.44786530438035888e-01,17,7.49514519621693687e-01,19,115.739463519
200,45966,7.42809289492105784e-01,16,7.67703371433186899e-01,16,7.37945274279567909e-01,17,120.02151336900002
220,47082,7.18512837800318049e-01,16,7.54801219711562998e-01,18,6.96977027162414942e-01,20,123.48659330699999
240,48294,7.44397832765130385e-01,22,7.39988277679522244e-01,20,7.67775884106193685e-01,18,126.92845707799998
260,49266,7.71781497122251858e-01,20,7.26685362767618748e-01,16,7.43164629917092201e-01,18,128.018623194
280,50454,7.57740950408421710e-01,16,7.46852988103540172e-01,19,7.60896960079031182e-01,17,131.37217604399999
300,51498,7.48958055282567980e-01,17,7.69183249652938716e-01,17,7.57255272230961007e-01,17,134.52241006799997
320,52590,7.77099118505622855e-01,14,7.57092783543959591e-01,18,7.59416706709524991e-01,16,137.75798405700002
340,53562,7.41540844423076551e-01,16,7.59205007166293466e-01,16,7.60058418841445205e-01,16,138.85578382999998
360,54606,7.63898747089351349e-01,16,7.54140500042463358e-01,17,7.53668989899901387e-01,16,142.13890888
380,55602,7.63258191339725611e-01,15,7.60694977717321974e-01,16,7.48087592097935850e-01,16,145.400347868
400,56694,7.48200580591104281e-01,16,7.64318083355705613e-01,18,7.33235719963390875e-01,15,146.633133285
420,57594,7.50569356737024740e-01,20,7.44387647391905216e-01,15,7.80107343578659185e-01,21,149.726067066
440,58470,7.32307022704500543e-01,17,7.73766173978021277e-01,14,7.20911187356963357e-01,17,150.71270122
460,59412,8.01992958404453060e-01,18,7.19863596310940546e-01,15,7.89342336263698763e-01,18,153.85028817100002
480,60552,8.28057470252628880e-01,15,7.63602441168467538e-01,19,8.55055095609492666e-01,15,157.13902590799998
500,61452,8.00159892077883184e-01,15,7.48108204453604819e-01,15,8.17684431433727377e-01,14,158.153681518
520,62352,8.08162562496708814e-01,15,7.90010740674206180e-01,15,8.28549022732345875e-01,15,161.18201193399997
540,63252,8.12033771186279840e-01,15,8.09995602803907477e-01,15,8.41741802166953823e-01,15,164.84110118099997
560,64152,8.25642613766174649e-01,15,7.85237826981438847e-01,15,7.80896111542597193e-01,15,165.99915100500002
580,65052,7.86202297796282701e-01,15,7.06398019103663510e-01,15,8.20179636546957469e-01,15,169.05330437199999
600,65952,8.18045236070858217e-01,15,7.54243384876137513e-01,15,8.53265843055420081e-01,15,170.064032614
620,66852,8.67206473387780785e-01,15,7.53684153880355701e-01,15,8.05106431434104430e-01,15,173.098539876
640,67752,7.99837202879973064e-01,15,7.25197801740216086e-01,15,8.61356376911557420e-01,15,176.18153751600002
660,68652,8.36968137614975127e-01,15,7.81901895320958329e-01,15,8.50865491053378609e-01,15,177.19753114800002
680,69552,8.22056988386573706e-01,15,7.14943899424826834e-01,15,8.52547370176072183e-01,15,180.342502236
700,70452,7.65988876574931976e-01,15,7.72038238933437482e-01,15,8.51116783049611358e-01,15,181.36853179699997
720,71352,8.71571243995939215e-01,15,7.52095472541317367e-01,15,8.05598295453619606e-01,15,184.80276222799998
740,72252,7.86158708343670853e-01,15,7.94860739361596180e-01,15,7.86637057506568316e-01,15,188.15153366299998
760,73152,7.90869660937350893e-01,15,7.99874563678523609e-01,15,8.16134983638813871e-01,15,189.22722228799998
780,74052,8.56192294166732260e-01,15,6.78618083919791393e-01,15,8.56481738130328130e-01,15,192.18980166100002
800,74952,8.25872813786458937e-01,15,7.81638480629608945e-01,15,8.34944099791001704e-01,15,193.24027276899997
820,75852,8.48775433671583812e-01,15,8.47990472859454947e-01,15,8.31151627980958319e-01,15,196.114577469
840,76752,8.41159155829338645e-01,15,7.60877670568641196e-01,15,8.67742192555570613e-01,15,198.980237625
860,77652,7.98743205447380200e-01,15,8.22552759762798291e-01,15,7.67113290577929652e-01,15,200.02447858999997
880,78552,8.30959421149839450e-01,14,8.23267279720663270e-01,15,8.05514590954862664e-01,15,202.97024714199998
900,79452,8.01845980779567258e-01,15,8.11266176560834107e-01,15,8.16558623475848289e-01,15,204.281775178
920,80352,8.26038994480960631e-01,15,7.52368650109615622e-01,15,7.83170641313401639e-01,15,207.003451845
940,81252,8.22680526428004266e-01,15,7.99173614462616810e-01,15,8.01212145690468835e-01,15,209.19107236
960,81802,6.38731064121520475e-01,13,6.86968883088667548e-01,15,8.37314747953505245e-01,14,210.721066944
980,82102,,,7.28237019586742362e-01,15,,,211.587649098
1000,82387,,,8.06530161055982076e-01,15,,,212.438722501
