"Iter.","Eval.","Accept.","Steps.","Accept.","Steps.","Accept.","Steps.","Time m:s"
0,21,3.88888888888888840e-01,1,3.75000000000000000e-01,2,3.75000000000000000e-01,2,0.19291237834841013
1,24,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.22355315648019314
2,27,2.50000000000000000e-01,1,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2275217417627573
3,30,,,2.50000000000000000e-01,1,2.50000000000000000e-01,1,0.2502494631335139
20,30828,7.75369707482263859e-01,277,7.77436600331705474e-01,571,7.59415723422574906e-01,403,213.67316864058375
40,69234,7.74230031274220520e-01,583,7.50356008257427987e-01,610,7.55863744250214742e-01,741,480.1989532765001
60,114600,7.38966681787180502e-01,640,7.29902436997057480e-01,721,7.60179206671733998e-01,619,793.5618234770373
80,158100,7.76286503311398368e-01,251,7.64679218586694853e-01,691,7.67276897170559136e-01,625,1094.0884875347838
100,195321,7.80977293745244716e-01,67,7.82620419600585926e-01,591,7.65426382783084169e-01,123,1351.871586477384
120,200274,7.54863565407959181e-01,62,7.07477483470245638e-01,79,7.55377612385427999e-01,59,1386.20338988211
140,205134,7.69105468538636261e-01,70,7.66433343563845293e-01,78,7.73810353058605571e-01,68,1419.881263726391
160,208755,7.48356151987125462e-01,56,7.11362875901873859e-01,58,7.23211685601843124e-01,58,1445.130598263815
180,213735,7.79484864869777416e-01,64,7.71544807766015306e-01,80,7.53404716762557825e-01,78,1479.1769735338166
200,217872,7.61011995071326885e-01,62,7.49599905100400976e-01,66,7.67556636953467653e-01,68,1507.8370233802125
220,222246,7.39267167960191762e-01,53,7.65164935002629831e-01,70,7.62382844309354657e-01,62,1537.9167860057205
240,225765,7.22273388631710089e-01,69,7.40640414979702677e-01,56,7.46600041338029485e-01,62,1562.2644644090906
260,229308,7.72638999340412358e-01,62,7.46185842165213553e-01,56,7.63226975425903675e-01,65,1586.7815353283659
280,232896,8.66975735477773291e-01,60,7.56214489847831794e-01,57,7.53074353794029983e-01,61,1611.8797146277502
300,237084,7.66914974852119236e-01,61,7.47608476469315941e-01,67,7.53855256776498117e-01,56,1640.8271089289337
320,241056,7.98333396573442045e-01,61,7.60526979628472821e-01,64,7.65766708095600213e-01,65,1668.2609114609659
340,244548,7.87449054590409259e-01,60,7.53690944094272730e-01,56,7.76300102827996219e-01,55,1692.5828972067684
360,248232,7.85217514994502319e-01,60,7.67595792219080586e-01,59,6.85382105567112321e-01,58,1717.6542164525017
380,251532,7.89627483742706637e-01,60,7.55467820583256455e-01,53,7.48315451591940906e-01,82,1740.5204036021605
400,255216,7.90639106945900894e-01,60,7.67538002455990243e-01,59,7.38791988584694415e-01,69,1766.2127183517441
420,258420,8.10435511357228688e-01,60,7.58396286621152327e-01,51,8.06023199660731549e-01,86,1788.4835369568318
440,261432,7.75625027461851690e-01,60,7.57459923344753427e-01,48,8.45567838858160337e-01,60,1809.405779353343
460,264186,8.20474693958318069e-01,59,7.22728351821036008e-01,44,8.32105805371364360e-01,59,1828.6077310619876
480,269598,8.27231330435434176e-01,61,7.57126935492985376e-01,86,8.89508739478684474e-01,61,1865.5937638245523
500,273228,7.39214351760579480e-01,60,7.46537687484722157e-01,58,8.35535517084813995e-01,60,1890.621917931363
520,277008,8.13129309718939819e-01,60,8.73850266771712736e-01,60,8.62947831880718996e-01,60,1916.7072167051956
540,280788,8.22698081150041949e-01,60,8.46617761051143947e-01,60,8.63089059634400302e-01,60,1943.0161254424602
560,284568,8.02862346780002900e-01,60,8.18279109678491601e-01,60,8.40523517183449642e-01,60,1969.2292218590155
580,288348,8.12278725566590087e-01,60,8.18690162588930459e-01,60,8.73968605388027897e-01,60,1995.6073046978563
600,292128,7.98818035482205646e-01,60,8.12054495765723638e-01,60,8.59416396023285456e-01,60,2021.74839480035
