"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,6,3.33333333333333315e-01,1,0.16320154536515474
1,7,2.50000000000000000e-01,1,0.16843189857900143
2,8,2.50000000000000000e-01,1,0.1707272781059146
3,9,2.50000000000000000e-01,1,0.17305653262883425
20,4372,7.48340385556582000e-01,243,235.4480329779908
40,22199,7.47847699103676433e-01,849,1198.529074460268
60,41643,7.66227645293222959e-01,926,2249.294726905413
80,61087,7.34854048611227828e-01,926,3299.4818815980107
100,79060,7.50097499910331145e-01,856,4271.751194758341
120,80709,7.13564980964700779e-01,79,4360.794024973176
140,82481,7.73955715124288290e-01,85,4456.526869230904
160,84109,6.97092366412156661e-01,78,4544.433341933414
180,85721,7.46814298042493108e-01,77,4631.415945013985
200,87781,7.52582884050278400e-01,99,4742.59559319634
220,89137,7.81121341359488075e-01,65,4815.86841548048
240,90653,7.32757679835374653e-01,73,4897.727529913187
260,92116,7.20406640115024199e-01,70,4976.718920481391
280,93952,7.62671586649334765e-01,88,5075.876568036154
300,95628,7.46320772275483102e-01,80,5166.424200804904
320,96952,7.48372531717645839e-01,64,5237.893151920289
340,98276,7.62514015736737383e-01,64,5309.408238040283
360,99568,7.49871311768767979e-01,62,5379.176905565895
380,100860,7.54822044848753482e-01,62,5448.90382240247
400,102280,7.70938384856653114e-01,68,5525.546082330868
420,103572,7.53020585132738618e-01,62,5595.391169556417
440,104896,7.49450181856537667e-01,64,5666.862371393479
460,106468,7.24110048440509635e-01,75,5751.786856086925
480,108432,7.69589342340561311e-01,94,5857.826291532256
500,110076,7.50586641779252495e-01,79,5946.625549792312
520,111336,8.13676109664533853e-01,60,6014.649637023918
540,112596,8.15283362871596196e-01,60,6082.738756160252
560,113856,8.33410355225486787e-01,60,6150.717484741472
580,115116,8.17519092737981956e-01,60,6218.774654516019
600,116376,8.58760681697326889e-01,60,6286.744023446925
620,117636,8.13664233594304953e-01,60,6354.811761899851
640,118896,7.93880196475919231e-01,60,6422.8007894326
660,120156,8.05715063730879089e-01,60,6490.836027314886
680,121416,8.15548452615642683e-01,60,6558.891714136116
700,122676,7.75578288023673679e-01,60,6626.883131527342
720,123936,8.51589727768695903e-01,60,6694.877788186073
740,125196,8.01191673744797050e-01,60,6762.8912407225
760,126456,8.59773729387293018e-01,60,6830.902071934193
780,127716,8.29398625028479830e-01,60,6898.866971039213
800,128976,8.38492320960776083e-01,60,6966.85078852158
820,130236,8.46433459193309701e-01,60,7034.889556201175
840,131496,8.35198700008703554e-01,60,7102.911027724855
860,132756,7.98574746110197964e-01,60,7170.91991661489
880,134016,8.49550373461227304e-01,60,7238.960467475466
900,135276,8.07272003201776500e-01,60,7306.946940409951
920,136536,8.28059086237523778e-01,60,7374.9710802724585
940,137796,8.08465714096362253e-01,60,7443.029827488586
960,139056,8.22648525834355215e-01,60,7511.067228186876
980,140316,8.66430404212931937e-01,60,7579.074855513871
1000,141576,8.15804995146501621e-01,60,7647.0519259041175
1020,142836,8.08453337974643360e-01,60,7715.052870912477
1040,144096,8.48426388418746846e-01,60,7783.065030084923
1060,145356,8.12334995683785199e-01,60,7851.06118170917
1080,146616,8.18516880633437305e-01,60,7919.05065218173
1100,147876,8.40159804177975977e-01,60,7987.011636975221
1120,149136,7.90319726592308980e-01,60,8055.02806813363
1140,150396,8.53336914438711402e-01,60,8123.029388506897
1160,151656,8.29358947811031477e-01,60,8191.001490986906
1180,152916,8.10874676379211734e-01,60,8258.9976867605
1200,154176,8.45961585675400807e-01,60,8326.96153289359
1220,155436,8.31422178869196338e-01,60,8394.99882433284
1240,156696,8.50323204485720407e-01,60,8462.96350420639
1260,157956,8.50259641898692076e-01,60,8531.044005039148
1280,159216,8.22689775036969495e-01,60,8599.018108432181
1300,160476,8.15244515525608393e-01,60,8667.0423651468
1320,161736,8.08237835021812678e-01,60,8735.08782250993
1340,162996,8.68751825892585150e-01,60,8803.087467644364
1360,164256,8.25769857462161139e-01,60,8871.167005781084
1380,165516,8.36605302309569643e-01,60,8939.2138559632
1400,166776,8.36207966173951767e-01,60,9007.211181512102
1420,168036,8.15028279701923042e-01,60,9075.791420333087
1440,169296,8.45693830957683912e-01,60,9143.816741400398
1460,170556,8.47473685712912039e-01,60,9211.807263611816
1480,171816,8.27114822905914093e-01,60,9279.795103989542
1500,173013,8.29797234819982021e-01,60,9344.423293504864
