"Iter.","Eval.","Accept.","Steps.","Time m:s"
0,5,2.50000000000000000e-01,1,0.1903387764468789
1,6,2.50000000000000000e-01,1,0.2094928864389658
2,7,2.50000000000000000e-01,1,0.21276672650128603
3,9,3.33333333333333315e-01,1,0.27370513044297695
20,12487,7.38606203052726062e-01,694,476.0704068131745
40,27083,7.19045164978703633e-01,696,1032.9898827448487
60,43584,7.66261427523985739e-01,786,1662.4446132527664
80,59004,7.29356110663170742e-01,735,2250.8944420125335
100,74058,7.37979421245312239e-01,717,2824.7826709114015
120,75612,7.34577273806509945e-01,74,2883.9599098991603
140,76653,7.37203642477474608e-01,50,2923.6742558041587
160,77676,7.29669490141542143e-01,49,2962.7246220186353
180,79128,7.48319775798582887e-01,70,3018.0269583659247
200,80324,7.55350242737347299e-01,57,3063.6286953212693
220,81808,7.60051960148723560e-01,71,3120.13099466078
240,82780,7.73890150330893589e-01,47,3157.2057140078396
260,83650,7.40685800224161750e-01,42,3190.3710585394874
280,84830,7.40909183471514909e-01,57,3235.3526515094563
300,85770,7.62511464657315008e-01,45,3271.1022913381457
320,86678,7.64791466315224433e-01,44,3305.6892130132765
340,87810,7.46353510111892660e-01,54,3348.7858999306336
360,88638,7.72000265968480481e-01,40,3380.321774003096
380,89386,7.56298043890340832e-01,36,3408.8076483560726
400,90774,7.34905989211511512e-01,67,3461.670658065006
420,91938,7.60340747483296164e-01,56,3504.9195143831894
440,93582,7.56752781411419440e-01,79,3566.101484705694
460,96003,7.28008469448378159e-01,116,3656.23811728321
480,99066,7.47584439290788105e-01,146,3770.240306585096
500,102762,7.68033375213850511e-01,176,3907.641797323711
520,105302,9.09368258837010335e-01,121,4001.9598911851645
540,107842,9.24871495935437715e-01,121,4096.349663114175
560,110382,9.11949404030355182e-01,121,4193.045898752287
580,112922,9.24840782309139464e-01,121,4289.852822354063
600,115462,9.22222150707107780e-01,121,4386.6459165858105
620,118002,9.21240847820841480e-01,121,4483.357643198222
640,120542,9.21952237255240448e-01,121,4580.206487735733
660,123082,9.15104711555560058e-01,121,4676.96377248317
680,125622,9.11271646404166802e-01,121,4773.657353892922
700,128162,8.97919966003289161e-01,121,4870.382786106318
720,130702,9.21262949758747562e-01,121,4967.136710735969
740,133242,9.16265803843824833e-01,121,5063.850633773953
760,135782,9.37265328179869406e-01,121,5160.54663562309
780,138322,9.31321254848457736e-01,121,5257.328422870487
800,140862,9.26749559758715868e-01,121,5354.087181287818
820,143402,9.14525967761618541e-01,121,5451.551813444123
840,146070,9.28259698634247066e-01,128,5553.153426270001
860,148610,9.25236403970422727e-01,121,5649.905001875013
880,151150,9.28176034554901719e-01,121,5746.754869638942
900,153690,9.36234893026219206e-01,121,5843.461798583157
920,156230,9.32566589116916589e-01,121,5940.277872798964
940,158770,9.38935915601094240e-01,121,6036.968388499692
960,161310,9.34716898520687289e-01,121,6133.878621611744
980,163850,9.33900584835712366e-01,121,6230.651143153198
1000,166390,9.33958904695192160e-01,121,6327.3781275572255
1020,168930,9.31458233400862756e-01,121,6424.149881222285
1040,171470,9.40542594260380005e-01,121,6520.905462431721
1060,174138,9.33537232630528568e-01,128,6622.619132484309
1080,176678,9.19071920444309298e-01,121,6719.337506995536
1100,179218,9.30370278691584840e-01,121,6816.046573786996
1120,181758,9.21595907790747182e-01,121,6912.718820869923
1140,184298,9.36571704999559995e-01,121,7009.44232114777
1160,186838,9.33365916876700452e-01,121,7106.13907823246
1180,189378,9.26276668991348195e-01,121,7202.849845261313
1200,191918,9.40681059766738104e-01,121,7299.568711228669
1220,194458,9.25400917260546629e-01,121,7396.298397306353
1240,196998,9.29144647674257418e-01,121,7492.987794302404
1260,199538,9.07922933227923279e-01,121,7589.7265140349045
1280,202078,9.25810147252338789e-01,121,7686.328012745827
1300,204618,9.31789260206595471e-01,121,7783.133462131955
1320,207158,8.85939810649146953e-01,121,7879.856434963644
1340,209698,8.42137463449186274e-01,121,7976.5744528668
1360,212238,8.32181227705965032e-01,121,8073.335889453068
1380,214778,8.67038797707951892e-01,121,8170.04285790585
1400,217318,8.59040883525870158e-01,121,8266.779803424142
1420,219858,8.52079382718854861e-01,121,8363.809063471854
1440,222398,8.47562284484523865e-01,121,8461.024694445543
1460,224938,8.55525798781955338e-01,121,8557.855195985176
1480,227478,9.23959002676189689e-01,121,8654.827269554138
1500,229891,9.09557926328242061e-01,121,8746.76042215433
